Grand Theft Auto IV,98,7.9,Xbox 360,April 29, 2008,/game/xbox-360/grand-theft-auto-iv,https://static.metacritic.com/images/products/games/3/78b2451531891db4396d873d82accbeb-98.jpg
Grand Theft Auto V,97,8.3,Xbox 360,September 17, 2013,/game/xbox-360/grand-theft-auto-v,https://static.metacritic.com/images/products/games/6/a03025b77dabe0980c17c6a3c8f540ae-98.jpg
BioShock,96,8.7,Xbox 360,August 21, 2007,/game/xbox-360/bioshock,https://static.metacritic.com/images/products/games/8/beb94c19496b1e7b633f7bf7285f42ea-98.jpg
The Orange Box,96,9.0,Xbox 360,October 10, 2007,/game/xbox-360/the-orange-box,https://static.metacritic.com/images/products/games/5/a1e86e73c40d4ce70191b86ccbf9295f-98.jpg
Mass Effect 2,96,8.9,Xbox 360,January 26, 2010,/game/xbox-360/mass-effect-2,https://static.metacritic.com/images/products/games/2/7178937e2ea07ddd2ae3e46bdf746dc7-98.jpg
The Elder Scrolls V: Skyrim,96,8.6,Xbox 360,November 11, 2011,/game/xbox-360/the-elder-scrolls-v-skyrim,https://static.metacritic.com/images/products/games/5/3239d08e358b28f67cc70d0d41a9b2db-98.jpg
Red Dead Redemption,95,9.0,Xbox 360,May 18, 2010,/game/xbox-360/red-dead-redemption,https://static.metacritic.com/images/products/games/1/1aba85e322bb75caf4fcc3f15528963e-98.jpg
Portal 2,95,8.8,Xbox 360,April 19, 2011,/game/xbox-360/portal-2,https://static.metacritic.com/images/products/games/9/79841223c9df97d146152dab6ad135ec-98.jpg
Batman: Arkham City,94,8.8,Xbox 360,October 18, 2011,/game/xbox-360/batman-arkham-city,https://static.metacritic.com/images/products/games/1/b707e552149fd03b161be6ec73b94935-98.jpg
Gears of War,94,8.4,Xbox 360,November 7, 2006,/game/xbox-360/gears-of-war,https://static.metacritic.com/images/products/games/5/4e6253bf2efe800e05d4c2270a52a674-98.jpg
The Elder Scrolls IV: Oblivion,94,8.7,Xbox 360,March 20, 2006,/game/xbox-360/the-elder-scrolls-iv-oblivion,https://static.metacritic.com/images/products/games/2/180b7a5751235c7f2322eb652070c833-98.jpg
Call of Duty 4: Modern Warfare,94,8.5,Xbox 360,November 5, 2007,/game/xbox-360/call-of-duty-4-modern-warfare,https://static.metacritic.com/images/products/games/2/4c04508ffbb8d2f01fc7abc652f6d53d-98.jpg
Halo 3,94,8.1,Xbox 360,September 25, 2007,/game/xbox-360/halo-3,https://static.metacritic.com/images/products/games/6/23421b773cd4739a8a3c4e064fc93d9f-98.jpg
Call of Duty: Modern Warfare 2,94,6.5,Xbox 360,November 10, 2009,/game/xbox-360/call-of-duty-modern-warfare-2,https://static.metacritic.com/images/products/games/0/04718c8d5ed3c1a5a963d8714a10684e-98.jpg
Pac-Man Championship Edition DX,93,7.6,Xbox 360,November 17, 2010,/game/xbox-360/pac-man-championship-edition-dx,https://static.metacritic.com/images/products/games/1/a9684ad13996997ede73d7184b808617-98.jpg
BioShock Infinite,93,8.6,Xbox 360,March 26, 2013,/game/xbox-360/bioshock-infinite,https://static.metacritic.com/images/products/games/7/e302b462a7173a6b90fa14d4a547d654-98.jpg
Braid,93,8.5,Xbox 360,August 6, 2008,/game/xbox-360/braid,https://static.metacritic.com/images/products/games/6/ed83d7e849d4bc74845a1f41890f998e-98.jpg
Street Fighter IV,93,7.3,Xbox 360,February 17, 2009,/game/xbox-360/street-fighter-iv,https://static.metacritic.com/images/products/games/6/163cf936070e630b6e9aa7f4a969ee95-98.jpg
Fallout 3,93,8.5,Xbox 360,October 28, 2008,/game/xbox-360/fallout-3,https://static.metacritic.com/images/products/games/7/2592a146ce29b1d4bc818d4e6a58bbf8-98.jpg
Gears of War 2,93,7.9,Xbox 360,November 7, 2008,/game/xbox-360/gears-of-war-2,https://static.metacritic.com/images/products/games/1/73d5b14301766692addd210f3f97baa0-98.jpg
Mass Effect 3,93,6.0,Xbox 360,March 6, 2012,/game/xbox-360/mass-effect-3,https://static.metacritic.com/images/products/games/7/2fc081f5fbe90338b49495e2579643ba-98.jpg
Rock Band 3,93,8.0,Xbox 360,October 26, 2010,/game/xbox-360/rock-band-3,https://static.metacritic.com/images/products/games/2/08660033f75cc4b9ac1a259b2ffc6093-98.jpg
Guitar Hero II,92,8.1,Xbox 360,April 3, 2007,/game/xbox-360/guitar-hero-ii,https://static.metacritic.com/images/products/games/5/895e9b9a60d11c4d6b59962f5a6b340f-98.jpg
Rock Band,92,8.0,Xbox 360,November 20, 2007,/game/xbox-360/rock-band,https://static.metacritic.com/images/products/games/8/91e0ff63522e1eed892dceaa9d4ff3f2-98.jpg
Forza Motorsport 3,92,8.1,Xbox 360,October 27, 2009,/game/xbox-360/forza-motorsport-3,https://static.metacritic.com/images/products/games/4/7a32661fe419a5c83118a3080732ee5a-98.jpg
Batman: Arkham Asylum,92,8.8,Xbox 360,August 25, 2009,/game/xbox-360/batman-arkham-asylum,https://static.metacritic.com/images/products/games/3/65594c9202cc0696a7aebf636d91cdc4-98.jpg
The Walking Dead: A Telltale Games Series,92,8.6,Xbox 360,April 27, 2012,/game/xbox-360/the-walking-dead-a-telltale-games-series,https://static.metacritic.com/images/products/games/2/50857d4bd9642be8b4a0581e29bc47c8-98.jpg
Rock Band 2,92,8.1,Xbox 360,September 14, 2008,/game/xbox-360/rock-band-2,https://static.metacritic.com/images/products/games/8/ee041845c62b5fa4611e9a8da1103548-98.jpg
