BASTION;90;7.7;Switch;Supergiant Games;Supergiant Games;Sep 13, 2018;Bastion is an original action role-playing game featuring a reactive narrator who marks your every move, lush hand-painted 2D artwork, and tight responsive gameplay that rewards playing with finesse. The game is designed to be simple to pick up and start playing, while offering a lot of rich… Expand;7 ;Role-Playing,Action RPG
HOLLOW KNIGHT;90;9.0;Switch;Team Cherry;Team Cherry;Jun 12, 2018;Hollow Knight is a 2D action-adventure game with an emphasis on traditional 2D animation and skillful gameplay. Journey to Hallownest, a vast and ancient underground kingdom inhabited by a bizarre collection of insects and monsters. Players will forge their own path as they explore ruined… Expand;27 ;Action Adventure,General
BAYONETTA + BAYONETTA 2;90;8.7;Switch;Nintendo;PlatinumGames;Feb 16, 2018;The Witch is Back. The witching hour strikes again. Brimming with intricate battles that take place in, on and all over epic set pieces, Bayonetta 2 finds our sassy heroine battling angels and demons in unearthly beautiful HD. You're bound to love how it feels to string together combos with… Expand;27 ;Miscellaneous,Compilation
XENOBLADE CHRONICLES: DEFINITIVE EDITION;89;8.9;Switch;Nintendo;Monolith Soft;May 29, 2020;Join the fight between man and machine in the definitive edition of this critically-acclaimed RPG. Discover the origins of Shulk as he and his companions clash against a seemingly-unstoppable mechanical menace. Wield a future-seeing blade, chain together attacks, and carefully position your… Expand;92 ;Role-Playing,Action RPG
DEAD CELLS;89;8.4;Switch;Motion Twin ;Motion Twin;Aug 7, 2018;Dead Cells is a rogue-lite, metroidvania action-platformer. You'll explore a sprawling, everchanging castle... assuming you're able to fight your way past its keepers in 2D souls-lite combat. No checkpoints. Kill, die, learn, repeat. RogueVania: The progressive exploration of an… Expand;36 ;Action,Platformer,2D
INTO THE BREACH;89;7.9;Switch;Subset Games;Subset Games;Aug 28, 2018;Control powerful mechs from the future to defeat an alien threat. Each attempt to save the world presents a new randomly generated challenge in this turn-based strategy game.;15 ;Strategy,Turn-Based,Tactics
SUPER MARIO 3D WORLD + BOWSER'S FURY;89;8.5;Switch;Nintendo;Nintendo;Feb 12, 2021;The cat's out of the bag, Super Mario 3D World is on to the Nintendo Switch system. Pounce and climb through dozens of colorful stages! Mario (and his friends) can use power-ups like the Super Bell, which grants catlike abilities, like climbing and scratching. Work together locally or online… Expand;120 ;Action,Platformer,3D
FIRE EMBLEM: THREE HOUSES;89;8.9;Switch;Nintendo;Intelligent Systems;Jul 26, 2019;War is coming to the continent of Fódlan. Here, order is maintained by the Church of Seiros, which hosts the prestigious Officer's Academy within its headquarters. You are invited to teach one of its three mighty houses, each comprised of students brimming with personality and represented by… Expand;102 ;Strategy,Turn-Based,Tactics
FEZ;89;6.7;Switch;Polytron Corp.;Polytron Corp.;Apr 14, 2021;Gomez is a 2D man on a voyage of discovery into the mysterious 3rd dimension. Change your perspective and look at the world in a different way.;11 ;Action,Platformer,2D
OKAMI HD;89;8.5;Switch;Capcom;Capcom;Aug 9, 2018;In Okami, the player takes the role of the mythical sun goddess Amaterasu, in the form of a wolf. Her task is to restore color (or 'life') to the world by destroying the monsters who have stolen it. Since Amaterasu is a diety, there are naturally people who worship her and people who don't.… Expand;32 ;Action Adventure,General
A SHORT HIKE;88;8.8;Switch;Whippoorwill Limited;adamgryu;Aug 18, 2020;Follow the marked trails or explore the backcountry as you make your way to the summit. Along the way, meet other hikers, discover hidden treasures, and take in the world around you. Explore the island any way you like. Choose your own path to follow and see where it leads you. You never… Expand;17 ;Adventure,General
HYPER LIGHT DRIFTER;88;7.7;Switch;Abylight;Heart Machine;Sep 6, 2018;Echoes of a dark and violent past resonate throughout a savage land, steeped in treasure and blood. Hyper Light Drifter is an action adventure RPG in the vein of the best 16bit classics, with modernized mechanics and designs on a much grander scale.Drifters of this world are the… Expand;21 ;Role-Playing,Action RPG
WHAT REMAINS OF EDITH FINCH;88;7.8;Switch;Annapurna Interactive;Giant Sparrow;Jul 4, 2019;What Remains of Edith Finch is a collection of short stories about a cursed family in Washington State.;7 ;Adventure,3D,First-Person
SUPER MARIO MAKER 2;88;8.5;Switch;Nintendo;Nintendo;Jun 28, 2019;Mario fans of the world, unite! Now you can play, create, and share the side-scrolling Super Mario courses of your dreams in the Super Mario Maker 2 game, available exclusively on the Nintendo Switch™ system! Dive into the single-player Story Mode and play built-in courses to rebuild… Expand;98 ;Action,Platformer,2D
DOWNWELL;88;7.3;Switch;Devolver Digital ;Moppin;Jan 31, 2019;Downwell is a curious game about a young person venturing down a well in search of untold treasures with only his Gunboots for protection. Make your way further and further down into the darkness filled with nasty creatures and mysterious secrets to collect the spectacular red gems scattered… Expand;11 ;Action,General
DIABLO III: ETERNAL COLLECTION;88;7.6;Switch;Blizzard Entertainment;Blizzard Entertainment;Nov 2, 2018;Generations of gamers have battled the demonic hordes of Diablo, and now it's your turn to take part in the action-RPG legacy. This Eternal Collection features Diablo III, the Reaper of Souls expansion set and the Rise of the Necromancer packall together in one definitive volume. Prepare… Expand;61 ;Role-Playing,Action RPG
MONSTER HUNTER RISE;88;9.1;Switch;Capcom;Capcom;Mar 26, 2021;Rise to the challenge and join the hunt. The action-RPG series returns to the Nintendo Switch! Set in the ninja-inspired land of Kamura Village, explore lush ecosystems and battle fearsome monsters to become the ultimate hunter. It's been half a century since the last calamity struck, but a… Expand;120 ;Role-Playing,Action RPG
STEAMWORLD DIG 2;88;8.6;Switch;Image & Form;Image & Form;Sep 21, 2017;Grab your pickaxe and dig into the sequel to SteamWorld Dig. A platform mining adventure forged in Metroidvania flames. In search of her lost friend, a lone steambot and her unlikely companion must dig deep, gain riches and explore an underworld riddled with danger. But time is running… Expand;38 ;Action,Action Adventure,General,Platformer,2D
IKARUGA;88;7.7;Switch;Nicalis;Treasure;May 29, 2018;A rebel pilot named Shinra must battle an enemy nation using a specially-designed fighter called the Ikaruga, which can switch between two energy polarities (black or white) at the touch of a button. Bullets that are the same color as Shinra's ship can be absorbed, while the opposite color… Expand;25 ;Action,Shooter,Shoot-'Em-Up,Vertical
CAVE STORY +;88;7.9;Switch;Nicalis;Nicalis;Jun 20, 2017;Cave Story takes you into a rare world where a curious race of innocent, rabbit-like creatures called Mimiga run free. You wake up in a dark cave with no memory of who you are, where you came from or why you're in such a place. Uncovering Mimiga Village, you discover that the once-carefree… Expand;12 ;Action,Platformer,2D
