ELEBITS: THE ADVENTURES OF KAI AND ZERO;75;8.3;DS;Konami;Konami;Jan 6, 2009;(Also known as "Eledees 2") Enter into an extraordinary game of hide and seek in this exciting sequel to Elebits! Kai and Zero have been swept off to a magical land and must finish the challenges ahead, to get back home. Seek out the mischievous little Omega Elebits that hold supernatural… Expand;15 ;Adventure,3D,Fantasy,Third-Person,Fantasy
CALL OF DUTY 4: MODERN WARFARE;75;6.2;DS;Activision;n-Space;Nov 5, 2007;Call of Duty 4: Modern Warfare for the Nintendo DS delivers an arsenal of modern weaponry, arming gamers with precision controls and touch screen capabilities for battle across the world's most dangerous hotspots. In an unfolding story that parallels the epic, high-octane PC and next… Expand;22 ;Action,Shooter,Shooter,First-Person,Modern,Modern,Arcade
FEEL THE MAGIC: XY/XX;75;7.5;DS;Sega;Sonic Team;Nov 16, 2004;Also known by its Japanese title "Kimi no Tame Nara Shineru" (I Would Die For You), or as Project Rub (in the UK/EU) the game is part dating sim, part mini-game bonanza. Our hero has a sunny beauty on his mind, and he's doing everything he can to score a date with her. He enlists the help… Expand;55 ;Miscellaneous,Puzzle,Puzzle,General,Puzzle,Party / Minigame,General
KINGDOM HEARTS 358/2 DAYS;75;8.4;DS;Square Enix;h.a.n.d. Inc.;Sep 29, 2009;Kingdom Hearts 358/2 Days revolves around Roxas, the "other" hero from King Hearts II. Players follow Roxas through his days among Organization XIII's ranks, unraveling the events that took place during the year that Sora was asleep, and ultimately revealing one of the Kingdom Hearts saga's… Expand;53 ;Role-Playing,Action RPG,Action RPG
FINAL FANTASY FABLES: CHOCOBO TALES;75;7.2;DS;Square Enix;h.a.n.d. Inc.;Apr 3, 2007;(Also known as "Chocobo and the Magic Picture Book") Final Fantasy Fables: Chocobo Tales begins with the Final Fantasy black magician bringing a picture book onto the Chocobo farm. This book is home to the great devil Bebuzu, and it sucks the entire farm into its pages. Chocobo embarks on… Expand;42 ;Role-Playing,Action Adventure,Adventure,Console-style RPG,General,Console-style RPG,Japanese-Style
WWE SMACKDOWN VS. RAW 2010;75;8.8;DS;THQ;Yuke's;Oct 20, 2009;The best-selling fighting videogame franchise returns to the virtual ring with the most authentic, entertaining and portable simulation of WWE programming to date. Featuring innovative new gameplay controls, an engaging Story Mode and an extensive array of unlockable content, WWE SmackDown… Expand;7 ;Action,Sports,Fighting,Fighting,Individual,Wrestling,Combat,Wrestling
FINAL FANTASY CRYSTAL CHRONICLES: ECHOES OF TIME;75;7.5;DS;Square Enix;Square Enix;Mar 24, 2009;An innovative new concept in multiplayer gaming, Final Fantasy Crystal Chronicles: Echoes of Time enables Wii and DS users to play side by side for the first time. This breakthrough in gaming connectivity allows players on both Nintendo platforms to journey together in the fantastical world… Expand;37 ;Role-Playing,Action RPG,Action RPG
MONSTER LAB;75;tbd;DS;Eidos Interactive;Backbone Entertainment;Nov 4, 2008;Monster Lab is set in an eerie, supernatural world where the evil Baron Mharti rules the region with a cruel hand. Gamers take on the role of an apprentice scientist who must perform a vast array of intricate experiments to create creepy monsters from over 150 monster parts. From mechanical… Expand;8 ;Role-Playing,Action RPG,General,Action RPG
SUPER PRINCESS PEACH;75;7.8;DS;Nintendo;TOSE;Feb 27, 2006;The story begins with the nefarious Bowser and his koopa horde plotting a diabolical scheme to capture the famous defenders of the Mushroom Kingdom, Mario and Luigi. The plan is successful, and with Mario and Luigi out of the picture, who else is going to save the day but Peach? After a… Expand;48 ;Action,Platformer,Platformer,2D,2D
BATMAN: THE BRAVE AND THE BOLD - THE VIDEOGAME;74;8.1;DS;Warner Bros. Interactive Entertainment;WayForward;Sep 7, 2010;Batman: The Brave and the Bold the Videogame fully immerses fans into the vivid animated world of the successful TV series where kids can play as Batman or together with family and friends in two-player co-op mode. Players can choose from iconic characters Robin, Green Lantern, Blue Beetle,… Expand;14 ;Action,General,General
ZOO KEEPER;74;7.5;DS;Ignition Entertainment;Buddiez, Inc.;Jan 18, 2005;Using the Touch Screen, players tap the Nintendo DS stylus to swap the positions of animals on the screen to create lines of three or more of the same type. These animals are then "captured," allowing other animals to fall into their place. Zoo Keeper includes a variety of play modes to… Expand;40 ;Miscellaneous,Puzzle,Puzzle,General,Puzzle,Matching,General
