MARIO VS. DONKEY KONG: MINI-LAND MAYHEM;79;8.0;DS;Nintendo;Nintendo;Nov 14, 2010;&#65279.At the grand opening of Mario's third theme park, the first 100 guests receive a new Mini Pauline toy. Donkey Kong arrives as the 101st guest and finds himself out of luck. He grabs Pauline and heads into the park with Mario and his Mini Marios in hot pursuit. The fourth game in… Expand;51 ;Action,Platformer,Platformer,2D,2D
METROID PRIME PINBALL;79;7.9;DS;Nintendo;Fuse Games Limited;Oct 24, 2005;Samus Aran's entry into the bumper-and-flipper world is a sleek, sci-fi classic gaming adventure that has her careening into gigantic boss monsters and bouncing through a variety of exciting pinball tables. Play tables across two screens at the same time using the touch screen to nudge the… Expand;51 ;Action,Miscellaneous,Parlor,Pinball,Pinball
GOLDEN SUN: DARK DAWN;79;8.2;DS;Nintendo;Camelot Software Planning;Nov 29, 2010;After going dark six years ago, 2010 will see a new dawn. Golden Sun DS updates the popular portable Golden Sun role-playing series with an impressive graphical style. This installment follows the story of the previous heroes' descendants and immerses players into the magic of its adventure… Expand;63 ;Role-Playing,Console-style RPG,Console-style RPG,Japanese-Style
GEOMETRY WARS: GALAXIES;79;7.9;DS;Sierra Entertainment;Bizarre Creations;Nov 27, 2007;Geometry Wars: Galaxies delivers an all new mission-based campaign where players blast-off on action-paced quests across the galaxy, defending solar systems one by one, defeating waves of alien enemies on new and classic Battle Grids. The controls have been optimized for Nintendo systems,… Expand;36 ;Action,Shooter,Shooter,Static,Third-Person,Static,Shoot-'Em-Up,Sci-Fi,Top-Down
SPIDER-MAN 3;79;6.6;DS;Activision;Vicarious Visions;May 4, 2007;Spider-Man 3 for the Nintendo DS is set in a 3D side scrolling world and delivers complete touch screen handling, in which players must draw upon Spider-Man's vast array of moves, attacks and upgrades as they choose their path and embark on a wide variety of city-based missions and multiple… Expand;21 ;Action,Action Adventure,Platformer,General,Platformer,3D,3D
ROCK BAND 3;79;6.1;DS;MTV Games;Backbone Entertainment;Oct 26, 2010;Rock Band returns with another iteration of the popular music game featuring new songs and instruments.;8 ;Action,Miscellaneous,Rhythm,Music,Music
TONY HAWK'S PROVING GROUND;79;6.6;DS;Activision;Vicarious Visions;Oct 15, 2007;For the first time, players will have the freedom to define their character, story and style based on the choices they make, the paths they choose and the style of skating they use on the proving grounds from Philadelphia and Baltimore to Washington, D.C. Tony Hawk's Proving Ground features… Expand;21 ;Sports,Alternative,Individual,Skateboarding,Skateboarding,Skate / Skateboard
BROKEN SWORD: SHADOW OF THE TEMPLARS - THE DIRECTOR'S CUT;78;8.1;DS;Ubisoft;Revolution Software;Mar 24, 2009;Broken Sword: Shadow of the Templars - The Director's Cut starts with the player in control of charming Parisian photo-journalist Nicole Collard, who witnesses the brutal and horrifying murder of one of Paris's richest and most influential statesmen. During her investigations, which feature… Expand;22 ;Adventure,General,General,Point-and-Click
BOMBERMAN LAND TOUCH!;78;7.6;DS;Atlus;Hudson;Nov 7, 2006;Explore the pirate theme park Bomber Island as the cheerful Bomberman. Trigger special events and solve puzzles to further the story. Take on CPU opponents in various attractions to earn items and gate keys. Complete the quest to become the Pirate King, and to unlock a special reward for… Expand;15 ;Miscellaneous,Puzzle,Action,Puzzle,Puzzle,General,Action
BIG BANG MINI;78;8.2;DS;SouthPeak Games;Arkedo Studio;Jan 21, 2009;In Big Bang Mini, your main objective is to use the stylus to create fireworks and destroy the waves of enemies that loom overhead. Miss and you’ll be forced to tackle another challenge - avoiding the sparks created by your falling fireworks. Celebrate the completion of a level by designing… Expand;39 ;Action,Shooter,Shooter,Static,Static,Shoot-'Em-Up,Top-Down,Vertical
HOTEL DUSK: ROOM 215;78;8.5;DS;Nintendo;Cing;Jan 22, 2007;Los Angeles, 1979. You are Kyle Hyde, an ex-cop turned salesman trying to track down a missing friend. Clues lead you to an eerie, old hotel rumored to have one very strange room – a room where wishes are granted. It's up to you to unravel the mystery in Hotel Dusk: Room 215, a gritty new… Expand;57 ;Adventure,General,General
ROBOCALYPSE;78;8.2;DS;Tecmo ;Vogster;Nov 17, 2008;Robocalypse is an innovative real-time strategy developed specifically for the Nintendo DS. Featuring robotic armies equipped with unique weaponry, Robocalypse offers deep strategic warfare and a twist of humor. Up to 4 players can compete head to head in wireless multiplayer matches or you… Expand;15 ;Strategy,Real-Time,Sci-Fi,Sci-Fi,General
DRAGON QUEST VI: REALMS OF REVELATION;78;8.4;DS;Nintendo;ArtePiazza;Feb 14, 2011;Dragon Quest VI: Realms of Reverie for Nintendo DS brings the classic console title into the handheld scene. Explore two parallel worlds while distinguishing reality from illusion and seeking to discover the true meaning of your very existence. [Square Enix];41 ;Role-Playing,Console-style RPG,Console-style RPG,Japanese-Style
AGE OF EMPIRES: MYTHOLOGIES;78;7.0;DS;THQ;Griptonite Games;Nov 24, 2008;Age of Empires: Mythologies is inspired by the Windows PC series Age of Empires and built on the Age of Empires: Age of Kings' game engine. Featuring three playable civilizations with individual campaigns - the Egyptians, Greeks and the Norse - Age of Empires: Mythologies allows players to… Expand;28 ;Strategy,Turn-Based,General,Historic,Historic
ASPHALT 4: ELITE RACING;78;7.8;DS;Gameloft;Gameloft;Jul 6, 2009;[DSiWare] For the racing elite, the world is their racetrack. Choose among 28 dream cars and motorcycles from the world's most prestigious manufacturers. Then race your way through eight of the most renowned cities, fully rendered in 3-D. Control your speed machine with either standard or… Expand;7 ;Driving,Racing,Simulation,GT / Street,GT / Street,Automobile
APOLLO JUSTICE: ACE ATTORNEY;78;8.0;DS;Capcom;Capcom;Feb 19, 2008;This is the fourth game in the series and the first developed specifically for Nintendo DS and sees a change of direction for the story line with the introduction of new defense attorney Apollo Justice and a host of new characters. Players star as rookie defense attorney Apollo Justice as he… Expand;48 ;Adventure,General,General,Visual Novel
RUNE FACTORY: A FANTASY HARVEST MOON;78;8.2;DS;Natsume;Neverland;Aug 14, 2007;You awaken to find yourself in an unfamiliar village with no memory of who you are or how you arrived. Mist, a beautiful young woman comes to your aid and helps you start to build a life for yourself…on a farm. Till the land, grow crops, raise animals, catch fish and battle monsters!… Expand;26 ;Role-Playing,Console-style RPG,Console-style RPG,Japanese-Style
SOUL BUBBLES;78;8.0;DS;Eidos Interactive;Mekensleep;Jun 10, 2008;Experience the soulful stories of a young shaman apprentice entrusted with saving lost spirits and steering them to safety. Under the guidance of his master, he must protect these fragile souls from the hostile and dangerous world around them by creating mystic bubbles to guide them on their… Expand;33 ;Action,General,General
SONIC RUSH ADVENTURE;78;8.2;DS;Sega;Dimps Corporation;Sep 18, 2007;Sonic returns to the DS with all the classic 2D dual screen action of "Sonic Rush," as well as a new high-seas adventure where he clashes with ruthless pirates. As Sonic, set off from Windmill Village to explore seven islands for action-packed adventures spread across a large map. As you… Expand;32 ;Action,Platformer,Platformer,2D,2D
ANNO 1701: DAWN OF DISCOVERY;78;7.6;DS;Ubisoft;Sunflowers Interactive;Mar 4, 2008;(Also known as "Anno 1701: Dawn of Discovery") In Anno 1701 you can experience the adventurous world of the 18th century with up to three friends, mobile and wireless. Explore, settle and expand in a completely new world. Prove yourself as adventurer and embark on the journey of your… Expand;14 ;Simulation,General,General
MEGA MAN ZX ADVENT;78;8.8;DS;Capcom;Inti Creates;Oct 23, 2007;Mega Man ZX Advent follows two heroes, Grey and Ashe, on two separate but intertwining adventures as they search for answers amidst a chaotic war between humans and robots. They fight against a menacing, evil force in a battle unprecedented in the Mega Man series. The title takes full… Expand;27 ;Action,Platformer,Platformer,2D,2D
SOUL OF DARKNESS;78;7.6;DS;Gameloft;Gameloft;Jul 5, 2010;[DSiWare] Enter a gothic world as the mysterious and powerful Kale. Try to save your beloved's life and soul by freeing her from an evil vampire's clutches. Explore dark woods, caves, huge castles and impressive cathedrals under the full moon's light. Master and upgrade your sword and… Expand;9 ;Adventure,General,General
ULTIMATE SPIDER-MAN;78;7.7;DS;Activision;Vicarious Visions;Sep 19, 2005;Play both sides as Ultimate Spider-Man allows players to take on the role of super hero Spider-Man AND super villain Venom. Penned and illustrated by famed comic book creators Brian Michael Bendis and Mark Bagley, the game picks up right where the story left off. Dive into an immersive… Expand;17 ;Action,Action Adventure,Beat-'Em-Up,General,Platformer,Beat-'Em-Up,2D
ALPHABOUNCE;78;6.8;DS;Motion Twin;Mad Monkey Studio;Apr 12, 2010;[DSiWare] AlphaBounce combines the classical brick-breaking concept with strong RPG features, offering you the chance to explore an endless universe with millions of levels. Discover items hidden in the deepest corners of the galaxy. Use these items to modify your spaceship and improve your… Expand;14 ;Action,General,General
MEGA MAN ZERO COLLECTION;78;8.8;DS;Capcom;Inti;Jun 8, 2010;The 4 Mega Man Zero titles have been brought to and optimized for the DS.;15 ;Action,Miscellaneous,Platformer,Compilation,2D
SONIC & SEGA ALL-STARS RACING;78;8.0;DS;Sega;Sumo Digital;Feb 23, 2010;In a frantic battle to the checkered flag, Sonic and friends speed around tracks set in medieval castle ramparts, lush rainforests and bustling cities, all taken from the visually rich and varied universes of Sonic and SEGA. Fan favorites such as Dr. Eggman, Tails, AiAi, Amigo and many more… Expand;20 ;Driving,Racing,Arcade,Kart,Kart,Automobile
DRAGON BALL: ORIGINS;78;7.8;DS;Atari ;Game Republic;Nov 4, 2008;The single player game follows Goku and his clever sidekick Bulma as they travel the world overcoming enemies and obstacles to collect the 7 Dragon Balls. In the shoes of Goku, the player must protect Bulma from incoming enemy attacks using special skills, such as fighting with his power… Expand;18 ;Action,Action Adventure,General,General
CHIBI-ROBO! PARK PATROL;78;7.7;DS;Nintendo;Skip Ltd.;Sep 24, 2007;In the last Chibi-Robo adventure, our diminutive hero restored happiness to the Sanderson home, but in this DS sequel, he’s taking on the great outdoors. Playground equipment in the park is mysteriously disappearing and the flowers in the park have been transformed by evil monsters. It's up… Expand;14 ;Action Adventure,Fantasy,General,Fantasy
ALICE IN WONDERLAND;78;7.9;DS;Disney Interactive Studios;Etranges Libellules;Mar 2, 2010;Have you ever wondered what it would be like to fall down the rabbit hole? Explore a visually stunning world filled with whimsical settings, optical illusions, curiously challenging puzzles, and formidable adversaries. Play as the Mad Hatter, White Rabbit, Cheshire Cat and other memorable… Expand;24 ;Action,Action Adventure,General,General,Fantasy
ACE ATTORNEY INVESTIGATIONS: MILES EDGEWORTH;78;8.3;DS;Capcom;Capcom;Feb 16, 2010;Miles Edgeworth is the famed rival prosecutor of court-house-dynamo Phoenix Wright. Since becoming the youngest prosecutor in the country at the tender age of 20, Miles Edgeworth built quite the reputation for himself by putting away bad guys in short order. However, after several… Expand;51 ;Adventure,General,General,Visual Novel
SPIDER-MAN: WEB OF SHADOWS;77;7.1;DS;Activision;Griptonite Games;Oct 21, 2008;New York City has been invaded and only Spider-Man can save it. The fate of New York is in your hands...Take Control. Spider-Man: Web of Shadows gives you an unprecedented level of gameplay choice, including, for the first time, control over the game's direction and outcome. Choose how… Expand;12 ;Action,Platformer,General,2D
POP ISLAND;77;7.8;DS;odenis studio;odenis studio;Dec 7, 2009;[DSiWare] Discover a joyful universe where playing is always a pleasure with Pop Island. Colorful and fun, Pop Island is an action-packed capture-the-flag game. Pick a team to join, then run, jump and spin your way around the island in an attempt to collect the priceless flags hidden… Expand;7 ;Action,General,General
BRAIN AGE 2: MORE TRAINING IN MINUTES A DAY;77;7.3;DS;Nintendo;Nintendo;Aug 20, 2007;(Also known as "More Brain Training from Dr Kawashima: How Old Is Your Brain?") Brain Age 2: More Training in Minutes a Day contains all-new activities to challenge a player's gray matter. The title is a series of trainings designed to give the brain a workout. The 17 new, engaging… Expand;37 ;Miscellaneous,Edutainment,Edutainment
RUNE FACTORY 3: A FANTASY HARVEST MOON;77;8.3;DS;Natsume;Neverland;Nov 9, 2010;It's an adventure that will transform you! The people of Sharance and their horned Univir neighbors are embroiled in a bitter conflict. An age-old hatred between humans and monsters divides them. You are an adventurer with an unusual secret: you're half human and half monster.Are you the… Expand;10 ;Role-Playing,Action RPG,Action RPG
ART STYLE: BASE 10;77;tbd;DS;Nintendo;Skip Ltd.;Jul 6, 2009;[DSiWare. also known as "Art Style: BASE 10"] The Art Style series brings you unique, simple-to-play games with striking visuals and immersive sound. Art Style: CODE is a fast-paced puzzle game that will test your quick arithmetic skills. Line up the moving digits with the stylus so that… Expand;9 ;Miscellaneous,Puzzle,Action,Puzzle,Puzzle,Action
RUNE FACTORY 2: A FANTASY HARVEST MOON;77;8.1;DS;Natsume;Neverland;Nov 18, 2008;Rune Factory 2 is set several years after the first game. The evil Sechs Empire has been defeated, and the Kingdom of Norad is once again at peace. Things may not stay that way for long, however, as dark premonitions foretell of dangers to come. It's up to player to uncover the source of… Expand;14 ;Role-Playing,General,General
WORDJONG;77;7.7;DS;Destineer;Magellan Interactive;Nov 16, 2007;WordJong features simple engrossing gameplay: Use a set of lettered tiles to create words, clearing the board as you use them. Aim for high-scoring words, earn bonus tiles, and work to clear the board with no leftover letters. WordJong boasts several new features exclusive to the DS ,… Expand;9 ;Miscellaneous,Puzzle,Puzzle,General,Puzzle,Logic,General
FINAL FANTASY III;77;8.6;DS;Square Enix;Matrix Software;Nov 14, 2006;The only Final Fantasy that was never localized—the third installment of the original series—will finally reach North American shores. Lauded as "legendary" by the Japanese fan base, Final Fantasy III has been reborn, incorporating the latest in portable gaming technology. Using the features… Expand;45 ;Role-Playing,Console-style RPG,Console-style RPG,Japanese-Style
RETRO GAME CHALLENGE;77;6.9;DS;XSEED Games;indieszero;Feb 10, 2009;Retro Game Challenge is a throwback to the 1980’s era of video games. Based on the popular Japanese GAME CENTER CX TV series, this title reinvents how classic games are played by having the player complete mini challenges in a wide-variety of games, reminiscent of all of your favorites from… Expand;30 ;Action,Miscellaneous,General,General,Trivia / Game Show
DK: JUNGLE CLIMBER;77;6.7;DS;Nintendo;Paon Corporation;Sep 10, 2007;Get back into the swing of things as Donkey Kong goes vertical. King K. Rool is up to no good again, and it’s up to Donkey Kong to swing into action. Using the same simple control scheme that made the DK: King of Swing Game Boy Advance SP game so accessible and fun to play, players of all… Expand;27 ;Action,General,General
DODOGO!;77;tbd;DS;Neko Entertainment;Alien After All;Apr 26, 2010;[DSiWare] DodoGo! is an adventure set in the time of the dinosaurs. Save as many dodo eggs as possible by leading them to safety. The fascinating little eggs love to roll, jump and laugh together, blissfully ignorant of the dangers around them. Get creative with simple tools. Build dynamic… Expand;13 ;Action,Platformer,Platformer,2D,2D
BEJEWELED TWIST;77;tbd;DS;PopCap;Griptonite Games;Jan 18, 2010;Spin and match explosive gems for shockwaves of fun in this all-new version of the awardwinning PopCap game, exclusively on Nintendo DS. Rotate jewels to set up electrifying combos, outwit obstacles like Locks and Bombs, and create high-voltage Lightning and Flame gems. Rev up with a… Expand;10 ;Miscellaneous,Puzzle,Puzzle,Puzzle,Matching,Matching,Action
ETRIAN ODYSSEY III: THE DROWNED CITY;77;8.4;DS;Atlus;Atlus;Sep 21, 2010;The embodiment of adventure and discovery in the purest sense, Etrian Odyssey III transports gamers to a sparkling oceanic paradise filled with atmospheric dungeons to chart and survey, vast watery expanses to sail across, and rumors of a sunken city to investigate. Aspiring explorers are… Expand;23 ;Role-Playing,First-Person,First-Person,Western-Style
TRAJECTILE;77;tbd;DS;Nintendo;Q-Games;Jan 4, 2010;[DSiWare. also known as "Reflect Missile"] Trajectile is a puzzle game that's as much about firepower as it is about brainpower, requiring you to line up your shot and launch a flurry of missiles at enemy targets. Three types of missiles are at your disposal, each one with its own… Expand;10 ;Action,General,General
HARVEST MOON DS: SUNSHINE ISLANDS;77;7.7;DS;Natsume;Marvelous Entertainment;Nov 12, 2009;The islands are in peril! Years ago, a powerful earthquake struck the Sunshine Islands. In Harvest Moon: Sunshine Islands, it's up to the player to raise the sunken islands by finding the magical Sun Stones. Raise the islands to meet new characters, harvest new crops, and befriend animals… Expand;9 ;Strategy,Breeding/Constructing,Management,Breeding/Constructing,Business / Tycoon
DRAGON QUEST MONSTERS: JOKER 2;77;7.1;DS;Nintendo;TOSE;Sep 19, 2011;As Monster Scouts, players can recruit wild monsters to build a team and battle against other players in this turn-based role-playing game. Each year, monster scouts from around the world gather to compete for the title of world's greatest scout. Players crash-land on a mysterious island… Expand;33 ;Role-Playing,Console-style RPG,Console-style RPG,Japanese-Style,Trainer
BRAIN AGE: TRAIN YOUR BRAIN IN MINUTES A DAY!;77;7.7;DS;Nintendo;Nintendo;Apr 17, 2006;(Also known as "Brain Training For Adults" and "Dr. Kawashima's Brain Training") Brain Age: Train Your Brain in Minutes a Day for Nintendo DS is a fun, rewarding form of entertainment everyone can enjoy, as it helps players flex their mental muscles. Brain Age is inspired by the research of… Expand;58 ;Miscellaneous,Edutainment,Edutainment
FINAL FANTASY CRYSTAL CHRONICLES: RING OF FATES;77;7.4;DS;Square Enix;Square Enix;Mar 11, 2008;The Great Crystal protects the land from the malefic glow of the blood red moon. Twins are born to this land, endowed with a shared, mystical power. Their peaceful life is suddenly changed with the rise of the blood red moon. All fates are etched into the crystal. [Square Enix];41 ;Role-Playing,Action RPG,Action RPG
MECHANIC MASTER;76;tbd;DS;Midway;Most Wanted Entertainment;Oct 21, 2008;Mechanic Master for the Nintendo DS is a fun problem-solving game for creative minds. Mechanic Master uses the stylus as a weapon to rid the Earth of alien invaders that have scattered across the planet. Become the ultimate Master of Mechanics by creating crazy contraptions to free humans,… Expand;9 ;Miscellaneous,Puzzle,Puzzle,General,Puzzle,General
YU-GI-OH! WORLD CHAMPIONSHIP 2007;76;7.7;DS;Konami;Konami;Mar 20, 2007;For the first time, the Yu-Gi-Oh! World Championship Tournament series makes its debut on the Nintendo DS™. The official software of the 2007 Yu-Gi-Oh! World Tournament makes worldwide wireless dueling possible utilizing the Nintendo Wi-Fi connection. The game includes 1,600 of the latest… Expand;8 ;Strategy,Miscellaneous,Turn-Based,Card Battle,Card Battle
PUYO POP FEVER;76;6.8;DS;Atlus;Sonic Team;May 3, 2005;Everything that you loved about Puyo POP is here as you puzzle your way through the ultimate combo creator: Fever Mode! This is where you'll throw as many chains together as possible in order to crush your opponents with unbreakable Nuisance Puyos. When the Giant Puyo appears, change its… Expand;22 ;Miscellaneous,Puzzle,Puzzle,Puzzle,Matching,Matching
MARIO VS. DONKEY KONG 2: MARCH OF THE MINIS;76;7.9;DS;Nintendo;Nintendo;Sep 25, 2006;In the original Mario vs. Donkey Kong, Mario was trying to find all the Mini Marios ... but this time, it's up to them to save the day. Players use the stylus and the touch screen to guide Mini Marios through mind-boggling, obstacle-filled levels. Mario vs. Donkey Kong 2 allows players to… Expand;32 ;Puzzle,Action,Platformer,Platformer,2D,2D
TONY HAWK'S DOWNHILL JAM;76;7.3;DS;Activision;Vicarious Visions;Oct 24, 2006;Tony Hawk's Downhill Jam delivers an innovative and unique skateboard experience focused on head-to-head racing. The game allows players to feel the breakneck speed of downhill competition as they tear up the world's steepest terrains while performing tricks and outmaneuvering opponents in… Expand;34 ;Sports,Alternative,Individual,Skateboarding,Skateboarding,Skate / Skateboard
SUIKODEN TIERKREIS;76;7.8;DS;Konami;Konami;Mar 17, 2009;Encompassing a variety of different characters while exploring many exotic locations and cultures across the game's universe of parallel worlds, Suikoden: Tierkreis expands the bounds of the handheld RPG. Featuring the franchise's established gameplay while maximizing the technological… Expand;24 ;Role-Playing,Console-style RPG,Console-style RPG,Japanese-Style
SOLATOROBO: RED THE HUNTER;76;8.4;DS;XSEED Games;CyberConnect2;Sep 27, 2011;Set out on an adventure amid floating islands and witness a world brought to life by renowned designers and animators. Battle robot enemies, build your strength and undertake quests as you journey through the Shepherd Republic and meet fascinating characters. Take control of Red as hes drawn… Expand;40 ;Role-Playing,Action RPG,Action RPG
KNIGHTS IN THE NIGHTMARE;76;8.5;DS;Atlus;Sting;Jun 3, 2009;Somewhere between heaven and the underworld -- in the center of a quiet lake -- stood an ancient castle known as Aventheim. One night, without warning, denizens of the netherworld emerged and slaughtered the kingdom. nary a soul was left alive. Within an abandoned, long-forgotten church… Expand;25 ;Strategy,Real-Time,Fantasy,General,Fantasy
ANTIPOLE;76;tbd;DS;Saturnine Games;Saturnine Games;Jul 21, 2011;Wield your powers of gravity manipulation to fend off a robot invasion. Perform impossible jumps, destroy enemies, and solve puzzles by bending gravity. Explore 20 challenging levels, 2 difficulty settings, and bonus unlockable content.;7 ;Action,Platformer,Platformer,2D,2D
MARIO & SONIC AT THE OLYMPIC WINTER GAMES;76;8.0;DS;Sega;Sega;Oct 13, 2009;Mario & Sonic at the Olympic Winter Games takes players to Vancouver, Canada, host city of the official 2010 Olympic Winter Games. This gaming experience invites players of all ages and skill sets to face-off in some of the most intense winter competitions available for the Nintendo… Expand;25 ;Sports,Olympic Sports,Olympic Sports,Individual,Athletics
