FINAL FANTASY X / X-2 HD REMASTER;85;6.7;Xbox One;Square Enix;Virtuos;Apr 16, 2019;Final Fantasy X tells the story of a star blitzball player, Tidus, who journeys with a young and beautiful summoner named Yuna on her quest to save the world of Spira. Then return in Final Fantasy X-2, join Yuna along with her companions Rikku and Paine on a quest around the world.;7 ;Miscellaneous,Compilation
HALO: THE MASTER CHIEF COLLECTION;85;7.8;Xbox One;Microsoft Game Studios;343 Industries;Nov 11, 2014;The Master Chief's complete story available one console. Features a re-mastered Halo 2: Anniversary, along with Halo: Combat Evolved Anniversary, Halo 3, and Halo 4, new digital series, Halo: Nightfall, and access to the Halo 5: Guardians Beta.;69 ;Miscellaneous,Compilation,Action,Shooter,First-Person,Sci-Fi,Arcade
PRO EVOLUTION SOCCER 2016;85;6.0;Xbox One;Konami;Konami;Sep 15, 2015;The upgraded feint moves allow for sudden directional changes that can cause defenders to lose their balance. But the developers have added a new system to the defenders arsenal. With Perfect Defence, players who time their tackles perfectly are able to powerfully shove their opponent out of… Expand;14 ;Sports,Team,Soccer,Sim
AGE OF WONDERS: PLANETFALL;85;6.5;Xbox One;Paradox Interactive;Triumph Studios;Aug 6, 2019;Age of Wonders: Planetfall is the new strategy game from Triumph Studios, creators of the critically acclaimed Age of Wonders series, bringing all the exciting tactical turn-based combat and in-depth empire building of its predecessors to space in an all-new, sci-fi setting.;10 ;Strategy,Turn-Based,General,4X
PLAYERUNKNOWN'S BATTLEGROUNDS;85;4.9;Xbox One;Microsoft Game Studios ;Bluehole, Inc.;Sep 4, 2018;Battlegrounds (PUBG), the tactical, high-octane battle royale phenomenon, debuted footage from two new maps: Sanhok, a smaller-scale, action-packed map inspired by the islands that dot the Southeast Pacific Ocean, and a snow-covered map currently in development. New footage also debuted of… Expand;9 ;Action,Shooter,First-Person,Tactical
THE WALKING DEAD: THE TELLTALE DEFINITIVE SERIES;85;7.4;Xbox One;Skybound Games;Telltale Games;Sep 10, 2019;The Walking Dead: The Telltale Definitive Series contains all 4 Seasons, 400 Days, and The Walking Dead: Michonne, which includes over 50 hours of gameplay across 23 unique episodes. With graphical enhancements, behind the scenes bonus features and faithful recreations of classic menus, this… Expand;7 ;Miscellaneous,Compilation
MONSTER BOY AND THE CURSED KINGDOM;85;7.9;Xbox One;FDG Entertainment;FDG Entertainment;Dec 4, 2018;A legendary game series returns with an all-new adventure and in HD. Monster Boy is a colorful side-scrolling action adventure created in cooperation with Ryuichi Nishizawa, the creator of the famous Wonder Boy in Monster World series. Monster Boy is being created to bring back the enjoyment… Expand;12 ;Action Adventure,General
TRIALS RISING;85;5.4;Xbox One;Ubisoft;RedLynx;Feb 26, 2019;Explore challenging tracks around the world, from Yellowstone Park to the peaks of Mt. Everest and everywhere in between. New Tandem Bike mode allows two riders to control one bike. Hone your racing skills and level up from local backyard competitions to stadium races. Make a statement with… Expand;15 ;Racing,Arcade,Automobile
NBA 2K18;85;1.7;Xbox One;2K Games;2K Games;Sep 15, 2017;The highest rated* annual sports title of this console generation returns with NBA 2K18, featuring unparalleled authenticity and improvements on the court.*According to 2008 - 2016 Metacritic.com;16 ;Sports,Team,Basketball,Sim
OUTER WILDS;85;7.8;Xbox One;Annapurna Interactive;Mobius Digital, LLC;May 30, 2019;An open world mystery about a solar system trapped in an endless time loop. As the newest recruit in the Space Program of Outer Wilds Ventures, a fledgling space program searching for answers in a strange, constantly evolving solar system, you’ll have to discover what lurks in the heart of… Expand;17 ;Action Adventure,Open-World
DESPERADOS III;85;7.0;Xbox One;THQ Nordic;Mimimi Productions;Jun 16, 2020;On his epic journey through 1870s USA and Mexico, John Cooper will have to take responsibility for mistakes that have been made in the past. On his quest for redemption, Cooper joins forces with the runaway bride Kate O'Hara, shady Arthur "Doc" McCoy, the giant trapper Hector and a… Expand;13 ;Strategy,Real-Time,Tactics
