81,"Action,Shooter,Scrolling,Shoot-'Em-Up,Vertical",,,,,,,,,,,,
82,"General,Role-Playing,Western-Style",,,,,,,,,,,,
83,"Puzzle,Action",,,,,,,,,,,,
84,"Role-Playing,First-Person,First-Person,Western-Style",,,,,,,,,,,,
85,"Action,Platformer,Platformer,2D,2D",,,,,,,,,,,,
86,"Action,Platformer,2D",,,,,,,,,,,,
87,"Role-Playing,Japanese-Style,Western-Style",,,,,,,,,,,,
88,"Simulation,Virtual,Career",,,,,,,,,,,,
89,"Role-Playing,Trainer",,,,,,,,,,,,
90,"Puzzle,Action",,,,,,,,,,,,
91,"General,General,Action,Platformer,2D",,,,,,,,,,,,
92,"Miscellaneous,Action,Rhythm,Music",,,,,,,,,,,,
93,"Action,Fighting,Fighting,3D,3D",,,,,,,,,,,,
94,"Action,Platformer,2D",,,,,,,,,,,,
95,"Role-Playing,Action RPG,Action RPG",,,,,,,,,,,,
96,"Strategy,Turn-Based,General",,,,,,,,,,,,
97,"General,Puzzle,Miscellaneous,Puzzle,General",,,,,,,,,,,,
98,"Action,Miscellaneous,Parlor,Pinball,Pinball",,,,,,,,,,,,
99,"Puzzle,Action,Platformer,3D",,,,,,,,,,,,
100,"Action,Platformer,Platformer,2D,2D",,,,,,,,,,,,
101,"Role-Playing,Action RPG,Japanese-Style",,,,,,,,,,,,
102,"Role-Playing,General,General",,,,,,,,,,,,
103,"Action Adventure,Modern,General,Modern",,,,,,,,,,,,
104,"Action,Miscellaneous,Rhythm,Music,Music",,,,,,,,,,,,
105,"Action,Platformer,Platformer,2D,2D",,,,,,,,,,,,
106,"Puzzle,Action,Platformer,Platformer,3D,3D",,,,,,,,,,,,
107,"Sports,Traditional,Individual,Golf,Arcade,Arcade",,,,,,,,,,,,
108,"Miscellaneous,Party / Minigame",,,,,,,,,,,,
109,"Role-Playing,Strategy,Breeding/Constructing,General,Action RPG,Breeding/Constructing",,,,,,,,,,,,
110,"Sports,Traditional,Team,Soccer,Arcade",,,,,,,,,,,,
111,"Role-Playing,Strategy,Turn-Based,General,General,Tactics",,,,,,,,,,,,
112,"Action,Platformer,Platformer,2D,2D",,,,,,,,,,,,
113,"Simulation,Virtual,Career",,,,,,,,,,,,
114,"Action,Strategy,Shooter,Turn-Based,General,Modern,Modern,First-Person,Tactical,Modern",,,,,,,,,,,,
115,"Action,Shooter,Shooter,Scrolling,Scrolling,Shoot-'Em-Up,Top-Down",,,,,,,,,,,,
116,"Miscellaneous,Compilation",,,,,,,,,,,,
117,"Role-Playing,General,Roguelike",,,,,,,,,,,,
118,"Adventure,Visual Novel",,,,,,,,,,,,
119,"Sports,Soccer,Arcade,Team",,,,,,,,,,,,
120,"Action Adventure,Survival",,,,,,,,,,,,
121,"Action,Platformer,Platformer,2D,2D",,,,,,,,,,,,
122,"Action,Platformer,2D",,,,,,,,,,,,
123,"Action,General,General",,,,,,,,,,,,
124,"Action,Platformer,2D",,,,,,,,,,,,
125,"Miscellaneous,Puzzle,General",,,,,,,,,,,,
126,"Action,Platformer,Platformer,2D,2D",,,,,,,,,,,,
127,"Sports,Soccer,Arcade,Team",,,,,,,,,,,,
128,"Role-Playing,First-Person,Western-Style",,,,,,,,,,,,
129,"Action,Adventure,General,General,3D,Third-Person",,,,,,,,,,,,
130,"Miscellaneous,General,Edutainment",,,,,,,,,,,,
131,"General,Miscellaneous,Puzzle,Action,Puzzle,Action",,,,,,,,,,,,
132,"Japanese-Style,Role-Playing,Trainer",,,,,,,,,,,,
133,"Role-Playing,Japanese-Style",,,,,,,,,,,,
134,"Role-Playing,General,General",,,,,,,,,,,,
135,"Action,Platformer,2D",,,,,,,,,,,,
136,"Role-Playing,Action RPG",,,,,,,,,,,,
137,"Action,Miscellaneous,Rhythm,Puzzle,General,Music,Music",,,,,,,,,,,,
138,"General,Role-Playing,Japanese-Style",,,,,,,,,,,,
139,"Role-Playing,General,Console-style RPG,General",,,,,,,,,,,,
140,"Breeding/Constructing,Strategy,General",,,,,,,,,,,,
