106;Action
106;Platformer
106;Platformer
106;3D
106;3D
107;Sports
107;Traditional
107;Individual
107;Golf
107;Arcade
107;Arcade
108;Miscellaneous
108;Party / Minigame
109;Role-Playing
109;Strategy
109;Breeding/Constructing
109;General
109;Action RPG
109;Breeding/Constructing
110;Sports
110;Traditional
110;Team
110;Soccer
110;Arcade
111;Role-Playing
111;Strategy
111;Turn-Based
111;General
111;General
111;Tactics
112;Action
112;Platformer
112;Platformer
112;2D
112;2D
113;Simulation
113;Virtual
113;Career
114;Action
114;Strategy
114;Shooter
114;Turn-Based
114;General
114;Modern
114;Modern
114;First-Person
114;Tactical
114;Modern
115;Action
115;Shooter
115;Shooter
115;Scrolling
115;Scrolling
115;Shoot-'Em-Up
115;Top-Down
116;Miscellaneous
116;Compilation
117;Role-Playing
117;General
117;Roguelike
118;Adventure
118;Visual Novel
119;Sports
119;Soccer
119;Arcade
119;Team
120;Action Adventure
120;Survival
121;Action
121;Platformer
121;Platformer
121;2D
121;2D
122;Action
122;Platformer
122;2D
123;Action
123;General
123;General
124;Action
124;Platformer
124;2D
125;Miscellaneous
125;Puzzle
125;General
126;Action
126;Platformer
126;Platformer
126;2D
126;2D
127;Sports
127;Soccer
127;Arcade
127;Team
128;Role-Playing
128;First-Person
128;Western-Style
129;Action
129;Adventure
129;General
129;General
129;3D
129;Third-Person
130;Miscellaneous
130;General
130;Edutainment
131;General
131;Miscellaneous
131;Puzzle
131;Action
131;Puzzle
131;Action
132;Japanese-Style
132;Role-Playing
132;Trainer
133;Role-Playing
133;Japanese-Style
134;Role-Playing
134;General
134;General
135;Action
135;Platformer
135;2D
136;Role-Playing
136;Action RPG
137;Action
137;Miscellaneous
137;Rhythm
137;Puzzle
137;General
137;Music
137;Music
138;General
138;Role-Playing
138;Japanese-Style
139;Role-Playing
139;General
139;Console-style RPG
139;General
140;Breeding/Constructing
140;Strategy
140;General
141;Role-Playing
141;General
141;Action RPG
141;Console-style RPG
141;Japanese-Style
142;Action Adventure
142;General
142;Fantasy
142;Role-Playing
142;Console-style RPG
142;Console-style RPG
142;Japanese-Style
143;Role-Playing
143;Action RPG
143;Action RPG
144;Miscellaneous
144;Compilation
144;Compilation
145;Sports
145;Traditional
145;Soccer
145;Arcade
146;Driving
146;Racing
146;General
146;General
146;Arcade
146;Automobile
147;Action
147;Shooter
147;Shooter
147;Scrolling
147;Scrolling
147;Shoot-'Em-Up
147;Top-Down
148;Role-Playing
148;General
149;Miscellaneous
149;General
149;Puzzle
149;Logic
150;Miscellaneous
150;Puzzle
150;Action
150;Puzzle
150;Action
151;Miscellaneous
151;Puzzle
151;Action
151;Puzzle
151;Action
152;General
152;Adventure
152;General
152;Visual Novel
153;Sports
153;Traditional
153;Soccer
153;Arcade
154;Miscellaneous
154;Puzzle
154;Puzzle
154;Stacking
154;Stacking
155;Role-Playing
155;Japanese-Style
156;Strategy
156;Management
156;Business / Tycoon
157;Strategy
157;Breeding/Constructing
157;General
157;Management
157;Breeding/Constructing
157;Business / Tycoon
158;Scrolling
158;Action
158;Shooter
158;Shoot-'Em-Up
158;Vertical
159;Action
159;Shooter
159;Shooter
159;Scrolling
159;Scrolling
159;Shoot-'Em-Up
159;Top-Down
160;Action Adventure
160;General
161;Platformer
161;2D
161;Action
161;Platformer
161;2D
162;Role-Playing
162;General
162;Console-style RPG
162;Console-style RPG
162;Japanese-Style
163;Action
163;General
163;General
164;Action
164;Miscellaneous
164;Parlor
164;Pinball
164;Pinball
165;Miscellaneous
165;Board / Card Game
166;Action
166;Platformer
166;2D
167;Action
167;Platformer
167;2D
168;Role-Playing
168;Trainer
169;Miscellaneous
169;Compilation
170;Action
170;Platformer
170;2D
171;Miscellaneous
171;Compilation
172;Simulation
172;Virtual
172;Virtual Life
173;Role-Playing
173;General
174;Action
174;Miscellaneous
174;Rhythm
174;Music
174;Music
175;Strategy
175;Turn-Based
175;Tactics
176;Action Adventure
176;Open-World
177;Sports
177;Traditional
177;Team
177;Football
177;Soccer
177;Sim
177;Sim
177;Sim
178;Miscellaneous
178;Puzzle
178;Puzzle
178;Logic
178;Logic
179;Action
179;Platformer
179;Platformer
179;2D
179;2D
180;Sports
180;Traditional
180;Team
180;Soccer
180;Sim
180;Sim
181;Puzzle
181;Action
181;Platformer
181;Platformer
181;2D
181;2D
182;Action
182;Role-Playing
182;General
182;Action RPG
183;Action Adventure
183;Fantasy
183;General
183;Fantasy
184;Action
184;Miscellaneous
184;General
184;General
184;General
185;Strategy
185;General
186;Role-Playing
186;Action RPG
187;Sports
187;Traditional
187;Soccer
187;Arcade
188;Role-Playing
188;Trainer
189;Action
189;Platformer
189;2D
190;Role-Playing
190;Console-style RPG
190;Japanese-Style
191;Miscellaneous
191;Edutainment
191;Application
192;Action
192;Shooter
192;Scrolling
192;Shoot-'Em-Up
192;Vertical
192;Horizontal
193;Role-Playing
193;Trainer
194;Puzzle
194;General
195;Simulation
195;Miscellaneous
195;Virtual Life
195;Virtual Life
195;Virtual
195;Pet
196;Action
196;Action Adventure
196;Platformer
196;Fantasy
196;Platformer
196;2D
196;2D
197;Simulation
197;Miscellaneous
197;General
197;Virtual
197;Virtual Life
198;Simulation
198;Miscellaneous
198;Virtual Life
198;Virtual Life
198;Virtual
198;Pet
199;Simulation
199;Miscellaneous
199;Virtual Life
199;Virtual Life
199;Virtual
199;Pet
200;Simulation
200;Miscellaneous
200;General
200;Virtual
200;Virtual Life
201;Action
201;Role-Playing
201;General
201;Action RPG
202;Action
202;Sports
202;Fighting
202;Fighting
202;Individual
202;Wrestling
202;Combat
202;Wrestling
203;Action Adventure
203;Fantasy
203;General
203;Fantasy
204;Action Adventure
204;Fantasy
204;General
204;Fantasy
205;Action
205;Platformer
205;Platformer
205;2D
205;2D
206;Action
206;Platformer
206;Platformer
206;3D
206;3D
207;Action
207;Simulation
207;General
207;Flight
207;General
207;Combat
208;Simulation
208;Flight
208;Civilian Plane
208;Civilian Plane
208;Civilian
209;Adventure
209;3D
209;Third-Person
210;Action
210;Shooter
210;Shooter
210;Scrolling
210;Scrolling
210;Shoot-'Em-Up
210;Vertical
211;Simulation
211;Submarine
211;Marine
211;Combat
212;Action
212;Beat-'Em-Up
212;3D
213;Role-Playing
213;Trainer
214;Strategy
214;Turn-Based
214;Tactics
215;Puzzle
215;Action
215;Platformer
215;2D
216;Sports
216;Traditional
216;Soccer
216;Arcade
217;Sports
217;Traditional
217;Soccer
217;Arcade
218;Strategy
218;Turn-Based
218;Fantasy
218;Fantasy
218;Tactics
219;Simulation
219;General
219;General
220;Miscellaneous
220;Puzzle
220;Matching
221;Sci-Fi
221;Strategy
221;Turn-Based
221;Tactics
222;Role-Playing
222;Roguelike
223;Role-Playing
223;Action RPG
224;Action
224;Beat-'Em-Up
224;2D
225;Sports
225;Traditional
225;Individual
225;Tennis
225;Tennis
226;Puzzle
226;Stacking
227;Action
227;General
227;Platformer
227;Platformer
227;2D
227;2D
228;Action
228;General
229;Action
229;Beat-'Em-Up
229;3D
230;Action
230;Platformer
230;2D
231;Action
231;General
232;Edutainment
232;Miscellaneous
232;Edutainment
233;Action
233;Role-Playing
233;General
233;General
233;Action RPG
234;Action
234;General
235;Miscellaneous
235;General
236;General
236;Action
236;Shooter
236;Shooter
236;Scrolling
236;Scrolling
236;Shoot-'Em-Up
236;Vertical
237;Puzzle
237;Action
237;Platformer
237;Platformer
237;2D
237;2D
238;Miscellaneous
238;Puzzle
238;Puzzle
238;Logic
238;Logic
239;Driving
239;Racing
239;Arcade
239;Futuristic
239;Futuristic
240;Miscellaneous
240;General
240;General
241;Action Adventure
241;Fantasy
241;General
241;Fantasy
242;Action
242;Miscellaneous
242;Parlor
242;Pinball
242;Pinball
243;Miscellaneous
243;Party / Minigame
244;Miscellaneous
244;Puzzle
244;General
244;Puzzle
244;General
245;Miscellaneous
245;Puzzle
245;Logic
246;Strategy
246;Turn-Based
246;General
246;Fantasy
247;Action
247;Shooter
247;Shooter
247;Scrolling
247;Scrolling
247;Shoot-'Em-Up
247;Vertical
248;Action
248;General
248;General
249;Action
249;Platformer
249;Platformer
249;3D
249;3D
250;Puzzle
250;Stacking
251;Role-Playing
251;Japanese-Style
252;Action
252;Beat-'Em-Up
252;3D
253;Sports
253;Traditional
253;Team
253;Soccer
253;Sim
253;Sim
254;Miscellaneous
254;Action Adventure
254;Fantasy
254;General
254;General
254;Fantasy
255;Miscellaneous
255;Puzzle
255;Puzzle
255;Board Games
255;Board / Card Game
255;General
255;General
256;Action
256;Beat-'Em-Up
256;3D
257;Role-Playing
257;Action RPG
