OBSERVER: SYSTEM REDUX;78;7.1;Xbox Series X;Aspyr ;Bloober Team;Nov 10, 2020;The year is 2084. In a dark cyberpunk world shattered by plagues and wars, become a neural police detective and hack into the jagged minds of others. Make use of anything they felt, thought, or remembered to solve the case and catch the elusive killer.;27 ;Adventure,3D,First-Person
FOOTBALL MANAGER 2021;78;7.1;Xbox Series X;Sega;Sports Interactive;Nov 30, 2020;Football Manager 2021 Xbox Edition brings the depth, detail, and drama of the world’s favourite football management simulation series to Xbox.Experience the closest thing to being a real manager by taking charge of the world’s greatest football teams and playing the beautiful game your… Expand;9 ;Sports,Team,Soccer,Management
HAVEN;78;7.3;Xbox Series X;The Game Bakers;The Game Bakers;Dec 3, 2020;Does love truly conquer all? Two lovers gave up everything, left their entire lives behind, and escaped to a lost planet to be together. Play these lovers, Yu and Kay, at the same time as they settle into an unknown and eerie world. Explore the planet searching for parts and material to fix… Expand;17 ;Adventure,General
SAMURAI SHODOWN: SPECIAL EDITION;78;tbd;Xbox Series X;Deep Silver ;SNK Corporation;Mar 16, 2021;SAMURAI SHODOWN has enjoyed worldwide success as a blade-wielding fighting game series since its first release in 1993. 11 years have passed since the last series installment, and it is now time for SAMURAI SHODOWN to return in a brand-new game featuring high-end visuals and gameplay!… Expand;10 ;Action,Fighting,2D
CALL OF DUTY: BLACK OPS COLD WAR;76;2.9;Xbox Series X;Activision;Raven Software;Nov 13, 2020;Black Ops Cold War will drop fans into the depths of the Cold War's volatile geopolitical battle of the early 1980s. Nothing is ever as it seems in a gripping single-player Campaign, where players will come face-to-face with historical figures and hard truths, as they battle around the globe… Expand;21 ;Action,Shooter,First-Person,Tactical
MOTOGP 21;76;tbd;Xbox Series X;Koch Media;Milestone S.r.l;Apr 22, 2021;Discover all the official rosters and tracks and experience the thrill of the 2021 Season. And if you want to dive into the past, you can relive the MotoGP™ history with more than 40 riders and their iconic bikes. Take critical decisions and find a winning strategy to take over the… Expand;10 ;Racing,Simulation,Automobile
CALL OF THE SEA;75;7.2;Xbox Series X;Raw Fury;Out of the Blue, Inc.;Dec 8, 2020;A weird tale of otherworldly mystery. Call of the Sea is a first-person adventure puzzle game set in the 1930s that tells the story of Norah, a woman on the trail of her missing husband's expedition. The search takes place on a strange but beautiful island in the South Pacific, filled with… Expand;31 ;Adventure,3D,First-Person
ASSASSIN'S CREED VALHALLA: WRATH OF THE DRUIDS;74;4.8;Xbox Series X;Ubisoft;Ubisoft Montreal;May 13, 2021;Explore the haunted wilds and beautiful landscapes of Ireland as you battle a druidic cult known as the Children of Danu. Conquer ring forts, master the art of smuggling, and gain the favor of Gaelic kings in a new open-world adventure.;21 ;Action Adventure,Open-World
OUTRIDERS;73;7.1;Xbox Series X;Square Enix;People Can Fly;Apr 1, 2021;Outriders is a 1-3 player co-op RPG shooter set in an original, dark and desperate sci-fi universe. As mankind bleeds out in the trenches of Enoch, you'll create your own Outrider and embark on a journey across the hostile planet. With rich storytelling spanning a diverse world, you'll leave… Expand;38 ;Action,Shooter,Third-Person,Arcade
MONSTER TRUCK CHAMPIONSHIP;72;4.6;Xbox Series X;Maximum Games;Maximum Games;Mar 16, 2021;From Las Vegas to Orlando, go head-to-head against experienced drivers in drag races and freestyle competitions! But before you can pull off doughnuts, wheelies and bicycles, you must first tune your truck to perfection. These machines are colossal and spectacular yet highly technical to… Expand;9 ;Simulation,Vehicle,Civilian
THE MEDIUM;71;7.3;Xbox Series X;Bloober Team;Bloober Team;Jan 28, 2021;Become a medium living in two different worlds: the real one and the spirit one. Haunted by the vision of a child's murder, you travel to an abandoned hotel resort, which many years ago became the stage of an unthinkable tragedy. There you begin your search for difficult answers. As a medium… Expand;80 ;Action Adventure,Survival
IMMORTALS FENYX RISING: A NEW GOD;70;tbd;Xbox Series X;Ubisoft;Ubisoft Quebec;Jan 28, 2021;As Fenyx, overcome the legendary trials and challenges of the gods of Olympos to change the Greek Pantheon and fulfill your destiny.;7 ;Action Adventure,Open-World
THE FALCONEER;65;4.9;Xbox Series X;Wired Productions;Tomas Sala;Nov 10, 2020;Generations of poisonous decisions and treason swirl in the deep, as factions collide. Become the Falconeer and soar through the skies aboard a devastatingly powerful Warbird. Uncover secrets lost to the sea as you join or oppose different factions and clans scattered throughout The Great… Expand;34 ;Simulation,Flight,Combat
HOOD: OUTLAWS & LEGENDS;62;tbd;Xbox Series X;Focus Home Interactive;Sumo Newcastle;May 7, 2021;In a violent, medieval world, outplay rival gangs in intense PvPvE multiplayer heists. Moving in stealth to steal treasures unseen or dominating through loud and brutal combat, only the best will escape with hard-earned riches.;9 ;Action Adventure,General
MONSTER ENERGY SUPERCROSS - THE OFFICIAL VIDEOGAME 4;61;5.5;Xbox Series X;Koch Media ;Milestone S.r.l;Mar 11, 2021;Cross is Super Again! The official videogame of the Monster Energy AMA Supercross Championship is back with its fourth edition, the most extreme ever!;8 ;Racing,Arcade,Automobile
OVERRIDE 2: SUPER MECH LEAGUE;58;tbd;Xbox Series X;Modus Games;Modus Studios Brazil;Dec 22, 2020;Override is a 3D fighting game with local and online multiplayer modes that is perfect for competitive players, mech fans, or casual brawlers.This newest entry to the series features a fully online Career Mode, improved combat systems, and tons of multiplayer modes.;7 ;Action,General,Fighting,3D
WEREWOLF: THE APOCALYPSE - EARTHBLOOD;58;4.4;Xbox Series X;Nacon;Cyanide;Feb 4, 2021;You are Cahal, a powerful Garou who chose to go into exile after losing control of his destructive rage. He can transform into a wolf and a Crinos, a huge ferocious beast. Master your three forms and their powers to punish those who defile Gaia.;22 ;Role-Playing,Action RPG
BRIGHT MEMORY;55;4.0;Xbox Series X;Playism;FYQD Personal Studio;Nov 10, 2020;Bright Memory is a lightning-fast fusion of the FPS and action genres, created by one-man development studio FYQD using Unreal Engine. Combine a wide variety of skills and abilities to unleash dazzling combo attacks. SRO (Supernatural Science Research Organization) agent Shelia's adventure… Expand;31 ;Action,Adventure,General,Shooter,First-Person,Arcade
BALAN WONDERWORLD;47;7.2;Xbox Series X;Square Enix;Square Enix;Mar 26, 2021;BALAN WONDERWORLD is an action platformer game themed around the Balan Theatre. Led by the enigmatic maestro named Balan, the stars of the show Emma and Leo will use special abilities from a multitude of characterful costumes as they adventure in the bizarre and imaginary land of… Expand;11 ;Action,Platformer,3D
