POKEMON BLACK VERSION;87;7.7;DS;Nintendo;Game Freak;Mar 6, 2011;Pokémon Black Version and Pokémon White Version feature new Pokémon that players can catch, train and battle as they progress through the game, and some Pokémon can only be caught in one version of the game. For example, the Legendary Pokémon Reshiram can… Expand;63 ;Role-Playing,Console-style RPG,Console-style RPG,Trainer
KIRBY: CANVAS CURSE;86;7.8;DS;Nintendo;HAL Labs;Jun 13, 2005;(Also known as "Touch! Kirby's Magic Paintbrush") Kirby: Canvas Curse delivers classic Kirby action with a fun twist. Using the stylus to control Kirby's movements is surprisingly intuitive, and the new control scheme provides many unique gameplay challenges. The rainbow paths you draw… Expand;48 ;Action,Platformer,Platformer,2D,2D
MIGHT & MAGIC: CLASH OF HEROES;86;7.6;DS;Ubisoft;Capy Games;Dec 1, 2009;Might & Magic Clash of Heroes is the first puzzle adventure RPG game from Ubisoft.It is inspired by the famous Heroes brand and set in the Might & Magic universe. With a manga art direction it has been re-mastered into a glorious 2D environment. As a prequel to Heroes V, 40 years before,… Expand;39 ;Role-Playing,General,General
MARIO & LUIGI: PARTNERS IN TIME;86;8.5;DS;Nintendo;Alphadream Corporation;Nov 28, 2005;In this sequel to Mario & Luigi: Superstar Saga, the brothers travel back in time to retrieve Princess Peach, only to come face to face with baby versions of themselves, the princess and Bowser. Teaming up with their young selves will soon send Mario and Luigi on a quest of lunatic… Expand;45 ;Role-Playing,Console-style RPG,Console-style RPG,Japanese-Style
PLANET PUZZLE LEAGUE;86;7.8;DS;Nintendo;Intelligent Systems;Jun 4, 2007;(Also known as "Panel De Pon DS") Use the DS stylus to grab panels and slide them left and right. If you match three or more panels of the same color, they will vanish. Form chains and combos to create cascading waterfalls of panels to rack up high scores. The basic game play is similar to… Expand;25 ;Miscellaneous,Puzzle,Puzzle,General,Puzzle,General
ANIMAL CROSSING: WILD WORLD;86;8.6;DS;Nintendo;Nintendo;Dec 5, 2005;In this sequel to the wildly popular Nintendo GameCube game, players and up to three friends can hang out in the same village and interact in real time - either through wireless LAN or over Nintendo Wi-Fi Connection. Now players can visit a friend's village from thousands of miles away.… Expand;57 ;Simulation,Miscellaneous,Virtual Life,Virtual,Virtual Life
PROFESSOR LAYTON AND THE UNWOUND FUTURE;86;8.8;DS;Nintendo;Level 5;Sep 12, 2010;Professor Layton and his apprentice, Luke, receive a confounding letter - from Luke 10 years in the future. But the message inside is even more troubling: London of the future is in disarray, and the only personwho can help set things right is Professor Layton.;62 ;Miscellaneous,Puzzle,Puzzle,General,Puzzle,General
ADVANCE WARS: DAYS OF RUIN;86;8.7;DS;Nintendo;Intelligent Systems;Jan 21, 2008;(Also known as "Advance Wars: Dark Conflict" in the UK/EU) After a cataclysmic meteor strike exterminates 90% of the population, the survivors must battle barbarians, disease, and strongmen who seek only to secure their own power. Advance Wars has been reinvented. Set amidst a world in… Expand;55 ;Strategy,Turn-Based,Modern,Modern,Tactics
RADIANT HISTORIA;85;8.7;DS;Atlus;Atlus;Feb 22, 2011;In the midst of an unending war for dominance between two super-powers, Special Intelligence Agent Stocke is assigned to a routine escort mission that goes horribly awry.;30 ;Role-Playing,General,General,Japanese-Style
SHANTAE: RISKY'S REVENGE;85;7.7;DS;WayForward;WayForward;Oct 4, 2010;The sequel to the critically acclaimed Shantae is here!;15 ;Action,Platformer,Platformer,2D,2D
