Bomberman Blast,86,7.5,Wii,September 29, 2008,/game/wii/bomberman-blast,https://static.metacritic.com/images/products/games/0/58c2f4fbfe12c4e6c547f01ad3439f98-98.jpg
Boom Blox Bash Party,86,7.8,Wii,May 19, 2009,/game/wii/boom-blox-bash-party,https://static.metacritic.com/images/products/games/3/1cdaac6226c01508cee45a593556ba74-98.jpg
Fluidity,86,7.8,Wii,December 6, 2010,/game/wii/fluidity,https://static.metacritic.com/images/products/games/4/53dd10153cf94644509c5891aa81cdea-98.jpg
Punch-Out!!,86,8.6,Wii,May 18, 2009,/game/wii/punch-out!!,https://static.metacritic.com/images/products/games/7/68ff09947cc29b8fd87583af3777e292-98.jpg
Guitar Hero World Tour,86,7.5,Wii,October 26, 2008,/game/wii/guitar-hero-world-tour,https://static.metacritic.com/images/products/games/7/2b364180942bd89d0ab668f62776384e-98.jpg
Guitar Hero III: Legends of Rock,86,7.8,Wii,October 28, 2007,/game/wii/guitar-hero-iii-legends-of-rock,https://static.metacritic.com/images/products/games/4/29da543825fb1fd42ed69124630294de-98.jpg
Tetris Party,86,7.7,Wii,October 20, 2008,/game/wii/tetris-party,https://static.metacritic.com/images/products/games/8/76273770718614e230c8a79f153fc817-98.jpg
Tatsunoko vs. Capcom: Ultimate All-Stars,85,8.6,Wii,January 26, 2010,/game/wii/tatsunoko-vs-capcom-ultimate-all-stars,https://static.metacritic.com/images/products/games/7/c60db6b2477da4bb3e4845e4db7dd9af-98.jpg
Maboshi's Arcade,85,7.9,Wii,December 29, 2008,/game/wii/maboshis-arcade,https://static.metacritic.com/images/products/games/0/796637b5ed750d023d335c6a94767dde-98.jpg
Super Paper Mario,85,8.0,Wii,April 9, 2007,/game/wii/super-paper-mario,https://static.metacritic.com/images/products/games/0/bb69f7ea54a35780af0ed04fbbb3147e-98.jpg
Guitar Hero: Metallica,85,8.1,Wii,March 29, 2009,/game/wii/guitar-hero-metallica,https://static.metacritic.com/images/products/games/4/2a2f7740a686969f4d3042f6c77e4c7e-98.jpg
Boom Blox,85,8.0,Wii,May 6, 2008,/game/wii/boom-blox,https://static.metacritic.com/images/products/games/6/62518eff5663965df91dc570c682aa4c-98.jpg
Tiger Woods PGA Tour 12: The Masters,85,6.6,Wii,March 29, 2011,/game/wii/tiger-woods-pga-tour-12-the-masters,https://static.metacritic.com/images/products/games/8/f67310ec715de2503888fc9981f211df-98.jpg
Tiger Woods PGA Tour 11,84,7.6,Wii,June 8, 2010,/game/wii/tiger-woods-pga-tour-11,https://static.metacritic.com/images/products/games/9/61e572a99748438570f8caac12b546a4-98.jpg
Pro Evolution Soccer 2009,84,7.8,Wii,March 17, 2009,/game/wii/pro-evolution-soccer-2009,https://static.metacritic.com/images/products/games/3/8131be700de5f1979284ddd72417b086-98.jpg
Monster Hunter Tri,84,8.5,Wii,April 20, 2010,/game/wii/monster-hunter-tri,https://static.metacritic.com/images/products/games/7/03ffb61e6a59a8e5221c948b2a7dd504-98.jpg
No More Heroes 2: Desperate Struggle,84,8.8,Wii,January 26, 2010,/game/wii/no-more-heroes-2-desperate-struggle,https://static.metacritic.com/images/products/games/6/a267b29a85324d0a90cfa7e99b69a9dc-98.jpg
Bit.Trip Complete,84,8.1,Wii,September 13, 2011,/game/wii/bittrip-complete,https://static.metacritic.com/images/products/games/2/1682ea32e043ca2520c4671d468d5306-98.jpg
Swords & Soldiers,84,7.6,Wii,June 8, 2009,/game/wii/swords-soldiers,https://static.metacritic.com/images/products/games/3/c837214c51189c9130cdebc14fe329f3-98.jpg
No More Heroes,83,8.5,Wii,January 22, 2008,/game/wii/no-more-heroes,https://static.metacritic.com/images/products/games/7/8b67f30b8d9fcdaac1e3f641267b2e66-98.jpg
MLB Power Pros,83,8.0,Wii,October 3, 2007,/game/wii/mlb-power-pros,https://static.metacritic.com/images/products/games/2/49098314dc391c5f75e4f87adec56c6e-98.jpg
Mega Man 9,83,8.3,Wii,September 22, 2008,/game/wii/mega-man-9,https://static.metacritic.com/images/products/games/0/3e78b61496d34f5f40cae58a19bc5c95-98.jpg
Tales of Monkey Island Chapter 5: Rise of the Pirate God,83,7.7,Wii,February 1, 2010,/game/wii/tales-of-monkey-island-chapter-5-rise-of-the-pirate-god,https://static.metacritic.com/images/products/games/1/4c821dfe1539c36d2e2ee913b1ca3c41-98.jpg
WarioWare: Smooth Moves,83,7.5,Wii,January 15, 2007,/game/wii/warioware-smooth-moves,https://static.metacritic.com/images/products/games/8/5866e54962ddba053ad7547ec8960efd-98.jpg
Rhythm Heaven Fever,83,8.3,Wii,February 13, 2012,/game/wii/rhythm-heaven-fever,https://static.metacritic.com/images/products/games/0/15eb30add485d6fcfb178cf6d5fa680a-98.jpg
And Yet It Moves,83,7.7,Wii,August 23, 2010,/game/wii/and-yet-it-moves,https://static.metacritic.com/images/products/games/0/3da4c3e53b4907acc6702bd1e50dc2c3-98.jpg
Bully: Scholarship Edition,83,8.2,Wii,March 4, 2008,/game/wii/bully-scholarship-edition,https://static.metacritic.com/images/products/games/5/d1d8610b66963420d85a2f421be38506-98.jpg
Pro Evolution Soccer 2008,83,8.2,Wii,March 18, 2008,/game/wii/pro-evolution-soccer-2008,https://static.metacritic.com/images/products/games/7/0be6bbb19bcc0a6fae26ad2eb67b1a0d-98.jpg
Call of Duty: World at War,83,7.6,Wii,November 10, 2008,/game/wii/call-of-duty-world-at-war,https://static.metacritic.com/images/products/games/0/0fbecc48c1f49f6a04af3e719c1b4236-98.jpg
Strong Bad's Cool Game for Attractive People Episode 5: 8-Bit Is Enough,83,7.6,Wii,December 15, 2008,/game/wii/strong-bads-cool-game-for-attractive-people-episode-5-8-bit-is-enough,https://static.metacritic.com/images/products/games/1/153ba14f5aaa033f34e7531b87240e33-98.jpg
Dead Space: Extraction,82,7.9,Wii,September 29, 2009,/game/wii/dead-space-extraction,https://static.metacritic.com/images/products/games/7/9fa44b84850f14755d990b3ac20575eb-98.jpg
MotoHeroz,82,7.5,Wii,September 15, 2011,/game/wii/motoheroz,https://static.metacritic.com/images/products/games/9/0458f87c6f1b5db00c1ee653cc58fd77-98.jpg
Trauma Team,82,8.2,Wii,May 18, 2010,/game/wii/trauma-team,https://static.metacritic.com/images/products/games/2/fa690ec03ca64f5d8ae9fb9da5d0d521-98.jpg
Pinball Hall of Fame: The Williams Collection,82,8.1,Wii,February 26, 2008,/game/wii/pinball-hall-of-fame-the-williams-collection,https://static.metacritic.com/images/products/games/7/f32aa6d05b5847c26db2819cc28ebc5d-98.jpg
NyxQuest: Kindred Spirits,82,8.2,Wii,August 10, 2009,/game/wii/nyxquest-kindred-spirits,https://static.metacritic.com/images/products/games/7/28fec4bcc81adc80cc15878733b05d59-98.jpg
Strong Bad's Cool Game for Attractive People Episode 2: Strong Badia the Free,82,7.9,Wii,September 15, 2008,/game/wii/strong-bads-cool-game-for-attractive-people-episode-2-strong-badia-the-free,https://static.metacritic.com/images/products/games/1/31800c21fc32a62678c94f52b5368372-98.jpg
Mario Kart Wii,82,8.4,Wii,April 27, 2008,/game/wii/mario-kart-wii,https://static.metacritic.com/images/products/games/6/5844c5a8ffe179147b8b0fdb0e61ad3e-98.jpg
Art Style: ORBIENT,82,8.2,Wii,September 29, 2008,/game/wii/art-style-orbient,https://static.metacritic.com/images/products/games/2/77efca34806821b8d2d7248264f9b562-98.jpg
Madden NFL 09 All-Play,82,7.4,Wii,August 12, 2008,/game/wii/madden-nfl-09-all-play,https://static.metacritic.com/images/products/games/5/6472e03dd988f3ded1e0e3aa3d877c75-98.jpg
Pro Evolution Soccer 2010,82,8.1,Wii,November 10, 2009,/game/wii/pro-evolution-soccer-2010,https://static.metacritic.com/images/products/games/6/d340f6545ae2071e1de806ceb52f2af0-98.jpg
