The Legend of Zelda: Breath of the Wild;Single-Player;Polled;Average;Median;Main Story;1.6K;50h 19m;50h;Main + Extras;3.7K;99h 28m;93h 13m;Completionists;755;191h;185h;All PlayStyles;6.1K;97h 45m;83h
Super Mario Odyssey;Single-Player;Polled;Average;Median;Main Story;1.6K;13h 03m;12h;Main + Extras;1.4K;28h 43m;25h;Completionists;977;63h 10m;60h;All PlayStyles;4K;31h 03m;21h 36m
Divinity: Original Sin II - Definitive Edition;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Hades;Single-Player;Polled;Average;Median;Main Story;676;21h 44m;20h;Main + Extras;495;46h 05m;40h;Completionists;198;98h;92h 58m;All PlayStyles;1.4K;41h 34m;30h
Ori and the Will of the Wisps;Single-Player;Polled;Average;Median;Main Story;329;11h 28m;11h 23m;Main + Extras;691;15h 06m;14h 21m;Completionists;561;17h 48m;16h 48m;All PlayStyles;1.6K;15h 18m;14h 38m
Undertale;Single-Player;Polled;Average;Median;Main Story;1.3K;6h 54m;6h 30m;Main + Extras;1K;11h 19m;10h;Completionists;418;21h 05m;20h;All PlayStyles;2.8K;10h 41m;8h 20m
Super Smash Bros. Ultimate;Single-Player;Polled;Average;Median;Main Story;388;23h 44m;23h 41m;Main + Extras;369;40h 09m;32h 58m;Completionists;288;73h 37m;50h 10m;All PlayStyles;1K;43h 16m;30h
Celeste;Single-Player;Polled;Average;Median;Main Story;1.6K;8h 25m;8h;Main + Extras;890;15h 09m;12h 08m;Completionists;247;39h 41m;36h 44m;All PlayStyles;2.7K;13h 26m;9h 20m
Bayonetta 2;Single-Player;Polled;Average;Median;Main Story;593;9h 18m;9h;Main + Extras;265;13h 39m;11h 54m;Completionists;20;54h 18m;50h 25m;All PlayStyles;878;11h 38m;9h 56m
Mario Kart 8 Deluxe;Single-Player;Polled;Average;Median;Main Story;212;6h 09m;5h 39m;Main + Extras;186;23h 10m;20h;Completionists;168;49h 58m;45h;All PlayStyles;566;24h 45m;16h 09m
INSIDE;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Dragon Quest XI S: Echoes of an Elusive Age - Definitive Edition;Single-Player;Polled;Average;Median;Main Story;313;58h 01m;56h 03m;Main + Extras;408;91h 48m;87h 32m;Completionists;94;131h 44m;129h 35m;All PlayStyles;815;83h 26m;77h
Sonic Mania Plus;Single-Player;Polled;Average;Median;Main Story;76;5h 02m;4h 45m;Main + Extras;28;10h 20m;10h;Completionists;11;30h 01m;30h;All PlayStyles;115;8h 43m;5h
SteamWorld Heist: Ultimate Edition;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Shovel Knight: Treasure Trove;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Animal Crossing: New Horizons;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Ori and the Blind Forest: Definitive Edition;Single-Player;Polled;Average;Median;Main Story;996;8h 55m;8h 33m;Main + Extras;1.1K;11h 16m;10h 30m;Completionists;709;12h 40m;11h 30m;All PlayStyles;2.8K;10h 47m;10h
Bastion;Single-Player;Polled;Average;Median;Main Story;1.9K;6h 29m;6h;Main + Extras;1.4K;9h 25m;9h;Completionists;326;20h 27m;20h;All PlayStyles;3.6K;8h 53m;7h 15m
Hollow Knight;Single-Player;Polled;Average;Median;Main Story;936;27h 15m;25h;Main + Extras;1.7K;40h 54m;38h;Completionists;751;60h 38m;53h 39m;All PlayStyles;3.4K;41h 30m;37h
Bayonetta + Bayonetta 2;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Xenoblade Chronicles: Definitive Edition;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Resident Evil Village;Single-Player;Polled;Average;Median;Main Story;423;9h 13m;9h 21m;Main + Extras;510;11h 24m;10h 47m;Completionists;29;37h 18m;35h;All PlayStyles;962;11h 13m;10h
Into the Breach;Single-Player;Polled;Average;Median;Main Story;192;5h 35m;5h;Main + Extras;136;19h 39m;17h;Completionists;54;47h 23m;41h 48m;All PlayStyles;382;16h 30m;8h
