10 Second Ninja X
Far Cry 5
The Evil Within 2;Single-Player;Polled;Average;Median;Main Story;254;13h 29m;13h 02m;Main + Extras;463;18h 49m;18h;Completionists;55;27h 31m;26h 10m;All PlayStyles;772;17h 41m;17h;Platform;Polled;Main;Main +;100%;PC;385;12h 57m;18h 18m;25h 57m;PlayStation 4;305;14h 04m;19h 45m;29h 38m;PlayStation 5;2;--;18h 30m;--;Xbox One;80;13h 53m;17h 46m;27h 45m;The Evil Within 2
Pro Evolution Soccer 2019
The Elder Scrolls V: Skyrim Special Edition
DiRT Rally 2.0;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Pro Evolution Soccer 2018;Single-Player;Polled;Average;Median;Main Story;3;47h 24m;53h 12m;Main + Extras;2;239h 41m;239h 41m;All PlayStyles;5;124h 18m;53h 12m;Platform;Polled;Main;Main +;100%;PC;3;41h 06m;439h 22m;--;PlayStation 4;2;60h;40h;--;Pro Evolution Soccer 2018
EA SPORTS UFC 4;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
NBA 2K15;Single-Player;Polled;Average;Median;Main Story;10;56h 47m;49h 30m;Main + Extras;7;257h 27m;135h;All PlayStyles;17;139h 25m;95h 03m;Platform;Polled;Main;Main +;100%;PC;8;68h 33m;156h 39m;--;PlayStation 4;2;--;525h;--;Xbox 360;1;18h 18m;--;--;Xbox One;6;51h 42m;141h 08m;--;NBA 2K15
MotoGP 20;Single-Player;Polled;Average;Median;Main Story;1;112h;112h;Completionists;1;61h 43m;61h 43m;All PlayStyles;2;86h 51m;86h 51m;Platform;Polled;Main;Main +;100%;PC;1;112h;--;--;Xbox One;1;--;--;61h 43m;MotoGP 20
Indivisible;Single-Player;Polled;Average;Median;Main Story;53;18h 34m;18h 44m;Main + Extras;87;22h 57m;22h 16m;Completionists;44;29h 10m;28h 15m;All PlayStyles;184;23h 10m;22h 07m;Platform;Polled;Main;Main +;100%;Nintendo Switch;19;18h 40m;26h 16m;33h;PC;97;18h 06m;22h 33m;28h 55m;PlayStation 4;39;21h 21m;21h 29m;29h 07m;Xbox One;28;17h 04m;23h 09m;29h 33m;Xbox Series X/S;1;--;29h 38m;--;Indivisible
Metro Exodus;Single-Player;Polled;Average;Median;Main Story;279;15h 15m;15h;Main + Extras;573;23h 07m;22h;Completionists;68;38h 01m;35h 25m;All PlayStyles;920;21h 50m;20h;Platform;Polled;Main;Main +;100%;Google Stadia;3;--;22h 41m;--;PC;700;15h 17m;22h 49m;36h 52m;PlayStation 4;106;14h 41m;23h 01m;38h 47m;PlayStation 5;5;15h 34m;31h;--;PlayStation Now;1;22h 57m;--;--;Xbox One;104;15h 22m;25h 15m;53h 01m;Xbox Series X/S;1;--;18h;--;Metro Exodus
Tom Clancy's The Division 2: Warlords of New York;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Rock Band Rivals;Single-Player;Polled;Average;Median;Main Story;1;2h 53m;2h 53m;Main + Extras;1;6h;6h;All PlayStyles;2;4h 26m;4h 26m;Platform;Polled;Main;Main +;100%;Xbox One;1;--;6h;--;Rock Band 4: Rivals Expansion
Resident Evil HD Remaster;Single-Player;Polled;Average;Median;Main Story;426;9h 14m;9h 21m;Main + Extras;516;11h 23m;10h 47m;Completionists;30;37h 14m;35h;All PlayStyles;972;11h 14m;10h;Platform;Polled;Main;Main +;100%;Google Stadia;8;9h 51m;10h 16m;--;PC;423;8h 58m;11h 26m;35h 48m;PlayStation 4;111;9h 28m;10h 57m;43h 38m;PlayStation 5;309;9h 16m;11h 18m;33h 06m;Xbox One;22;10h 22m;14h 12m;83h 07m;Xbox Series X/S;99;9h 30m;11h 25m;35h 15m;Resident Evil Village
Far Cry 4
