Swords & Soldiers II;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Mario Party 10;Single-Player;Polled;Average;Median;Main Story;20;3h 40m;3h 01m;Main + Extras;10;13h 23m;9h 57m;Completionists;3;21h 50m;28h 55m;All PlayStyles;33;8h 16m;5h 30m
One Piece: Unlimited World Red;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Kung Fu Rabbit;Single-Player;Polled;Average;Median;Main Story;6;3h 06m;3h;Main + Extras;4;4h 19m;4h 10m;Completionists;4;9h 34m;9h 41m;All PlayStyles;14;5h 18m;4h 10m
Mario & Sonic at the Rio 2016 Olympic Games;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Wii Party U;Single-Player;Polled;Average;Median;Main Story;7;2h 49m;3h;All PlayStyles;7;2h 49m;3h
Dr. Luigi;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Warriors Orochi 3 Hyper;Single-Player;Polled;Average;Median;Main Story;3;10h 05m;9h 15m;Main + Extras;1;34h 50m;34h 50m;All PlayStyles;4;16h 16m;10h 37m
Chasing Aurora;Single-Player;Polled;Average;Median;Main Story;2;1h;1h;All PlayStyles;2;1h;1h
Cubemen 2;Single-Player;Polled;Average;Median;Main Story;2;4h 39m;4h 39m;Main + Extras;1;7h 20m;7h 20m;All PlayStyles;3;5h 33m;5h 12m
Sonic: Lost World;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Wooden Sen'SeY;Single-Player;Polled;Average;Median;Main Story;7;2h 03m;2h 08m;Main + Extras;1;5h;5h;All PlayStyles;8;2h 25m;2h 09m
Watch Dogs;Single-Player;Polled;Average;Median;Main Story;629;19h 29m;19h 04m;Main + Extras;568;34h 09m;32h 26m;Completionists;157;60h 48m;57h;All PlayStyles;1.4K;30h 26m;25h
Pure Chess;Single-Player;Polled;Average;Median;Main + Extras;1;8h;8h;All PlayStyles;1;8h;8h
F1 Race Stars;Single-Player;Polled;Average;Median;Main Story;4;11h 59m;11h 04m;Main + Extras;5;24h 47m;16h 15m;Completionists;5;23h 59m;21h;All PlayStyles;14;20h 51m;16h 45m
Game & Wario;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
SiNG Party;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
The Mysterious Cities of Gold: Secret Paths;Single-Player;Polled;Average;Median;Main + Extras;1;10h 24m;10h 24m;Completionists;1;21h 52m;21h 52m;All PlayStyles;2;16h 08m;16h 08m
Abyss;Single-Player;Polled;Average;Median;Main Story;2;1h 42m;1h 42m;Main + Extras;1;3h 27m;3h 27m;Completionists;2;3h 29m;3h 29m;All PlayStyles;5;2h 46m;2h 20m
Pac-Man and the Ghostly Adventures;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Mario Tennis: Ultra Smash;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Typoman;Single-Player;Polled;Average;Median;Main Story;27;4h 01m;3h 48m;Main + Extras;15;4h 40m;4h 20m;Completionists;5;9h 06m;10h 31m;All PlayStyles;47;4h 46m;4h 15m
Shadow Puppeteer;Single-Player;Polled;Average;Median;Main Story;7;4h 19m;3h 42m;Main + Extras;4;5h 18m;4h 21m;Completionists;4;4h 50m;3h 15m;All PlayStyles;15;4h 43m;3h 48m
Disney Epic Mickey 2: The Power of Two;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Roving Rogue
Transformers Prime: The Game;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Super Toy Cars;Single-Player;Polled;Average;Median;Main Story;4;2h 18m;2h 14m;Main + Extras;1;4h 06m;4h 06m;Completionists;3;6h 18m;6h 20m;All PlayStyles;8;4h 02m;3h 48m
How to Survive;Single-Player;Polled;Average;Median;Main Story;41;10h;9h;Main + Extras;41;14h 13m;13h;Completionists;12;37h 19m;31h 45m;All PlayStyles;94;15h 20m;11h 30m
Cube Life: Island Survival;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Mario & Sonic at the Sochi 2014 Olympic Winter Games;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Temple of Yog;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Blok Drop U;Single-Player;Polled;Average;Median;Completionists;4;1h 04m;54m;All PlayStyles;4;1h 04m;54m
Ice Cream Surfer;Single-Player;Polled;Average;Median;Main Story;3;49m;50m;Main + Extras;2;1h 06m;1h 06m;All PlayStyles;5;56m;1h
Rabbids Land;Single-Player;Polled;Average;Median;Main Story;3;1h 28m;1h 26m;All PlayStyles;3;1h 28m;1h 26m
Disney's Planes;Single-Player;Polled;Average;Median;Main Story;4;3h 58m;3h 26m;Main + Extras;1;4h 39m;4h 39m;All PlayStyles;5;4h 06m;3h 30m
Funky Barn;Single-Player;Polled;Average;Median;Main Story;1;4h 46m;4h 46m;Completionists;1;5h 30m;5h 30m;All PlayStyles;2;5h 08m;5h 08m
Marvel Avengers: Battle for Earth;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Pokémon Rumble World;Single-Player;Polled;Average;Median;Main Story;7;21h 24m;22h;Main + Extras;7;59h 25m;53h;Completionists;1;199h 44m;199h 44m;All PlayStyles;15;51h 01m;26h 10m
Canvaleon;Single-Player;Polled;Average;Median;Main Story;2;8h 15m;8h 15m;Main + Extras;2;10h 30m;10h 30m;Completionists;2;12h 15m;12h 15m;All PlayStyles;6;10h 20m;10h
Mighty No. 9;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Gravity Badgers;Single-Player;Polled;Average;Median;Main Story;3;3h;2h 57m;Main + Extras;1;3h 42m;3h 42m;Completionists;4;10h 58m;10h 56m;All PlayStyles;8;7h 04m;6h 51m
Animal Crossing: amiibo Festival;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Tank! Tank! Tank!;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Rodea the Sky Soldier;Single-Player;Polled;Average;Median;Main Story;13;7h 57m;7h 49m;Main + Extras;5;12h 40m;11h 16m;All PlayStyles;18;9h 15m;8h 37m
Devil's Third;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Ben 10: Omniverse;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Adventure Time: Explore the Dungeon Because I DON'T KNOW!;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Sonic Boom: Rise of Lyric;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
ESPN Sports Connection;Single-Player;Polled;Average;Median;Main Story;1;1h 32m;1h 32m;All PlayStyles;1;1h 32m;1h 32m
Game Party Champions;Platform;Polled;Main;Main +;100%;Not enough data.;;;;
Family Party: 30 Great Games Obstacle Arcade;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
