Wario Land: Shake It!;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
LEGO Indiana Jones: The Original Adventures;Single-Player;Polled;Average;Median;Main Story;80;9h 37m;10h;Main + Extras;53;14h 35m;14h;Completionists;109;21h 27m;20h;All PlayStyles;242;16h 02m;14h 16m
Skylanders: Giants;Single-Player;Polled;Average;Median;Main Story;25;10h 41m;10h 30m;Main + Extras;12;20h 11m;15h;Completionists;5;34h 27m;30h;All PlayStyles;42;16h 13m;12h 58m
Excitebots: Trick Racing;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Prince of Persia: The Forgotten Sands;Single-Player;Polled;Average;Median;Main Story;195;7h 49m;8h;Main + Extras;107;8h 57m;9h;Completionists;54;10h 59m;10h 30m;All PlayStyles;356;8h 39m;8h
Project Zero 2: Wii Edition;Single-Player;Polled;Average;Median;Main Story;12;10h 08m;10h 16m;Main + Extras;10;11h 44m;11h 48m;All PlayStyles;22;10h 51m;11h 24m
Kirby's Return to Dream Land;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
The Godfather: Blackhand Edition;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
New Play Control! Pikmin;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Madden NFL 10;Single-Player;Polled;Average;Median;Main Story;4;18h;20h 30m;All PlayStyles;4;18h;20h 30m
Tomena Sanner;Platform;Polled;Main;Main +;100%;Not enough data.;;;;
Guitar Hero: Warriors of Rock;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Klonoa;Single-Player;Polled;Average;Median;Main Story;27;5h 16m;5h;Main + Extras;15;5h 22m;5h;Completionists;7;8h 12m;6h 18m;All PlayStyles;49;5h 43m;5h 21m
Trauma Center: New Blood;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Mercury Meltdown Revolution;Platform;Polled;Main;Main +;100%;Not enough data.;;;;
Green Day: Rock Band;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Rayman Raving Rabbids;Single-Player;Polled;Average;Median;Main Story;38;5h 53m;6h;Main + Extras;15;8h 16m;8h;Completionists;8;14h 24m;12h;All PlayStyles;61;7h 35m;6h 30m
Madden NFL 08;Single-Player;Polled;Average;Median;Main Story;4;22h 15m;21h;Main + Extras;2;150h 30m;150h 30m;Completionists;2;32h 30m;32h 30m;All PlayStyles;8;56h 52m;24h 30m
Endless Ocean: Blue World;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Guilty Gear XX Accent Core Plus;Single-Player;Polled;Average;Median;Main Story;13;1h 17m;30m;All PlayStyles;13;1h 17m;30m
LEGO Harry Potter: Years 5-7;Single-Player;Polled;Average;Median;Main Story;81;11h 09m;11h;Main + Extras;54;17h 03m;15h 48m;Completionists;143;25h 09m;25h;All PlayStyles;278;19h 30m;19h 28m
MySims Kingdom;Single-Player;Polled;Average;Median;Main Story;4;9h 15m;9h 24m;Main + Extras;3;24h 25m;15h 15m;Completionists;2;21h 54m;21h 54m;All PlayStyles;9;17h 07m;13h 49m
Contra ReBirth;Single-Player;Polled;Average;Median;Main Story;12;1h 16m;1h;All PlayStyles;12;1h 16m;1h
Harvest Moon: Animal Parade;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Call of Duty: Modern Warfare - Reflex Edition;Single-Player;Polled;Average;Median;Main Story;11;6h 56m;7h;Main + Extras;1;9h;9h;All PlayStyles;12;7h 06m;7h
LEGO Star Wars III: The Clone Wars;Single-Player;Polled;Average;Median;Main Story;60;8h 53m;8h 52m;Main + Extras;44;14h 53m;15h;Completionists;72;31h 51m;30h 13m;All PlayStyles;176;19h 47m;16h 03m
Bubble Bobble Neo!;Single-Player;Polled;Average;Median;Main Story;1;1h 30m;1h 30m;All PlayStyles;1;1h 30m;1h 30m
Strong Bad's Cool Game for Attractive People Episode 1: Homestar Ruiner;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Resident Evil Village;Single-Player;Polled;Average;Median;Main Story;423;9h 13m;9h 21m;Main + Extras;510;11h 24m;10h 47m;Completionists;29;37h 18m;35h;All PlayStyles;962;11h 13m;10h
Bit.Trip Runner;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Disney/Pixar Toy Story 3;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
NHL Slapshot;Single-Player;Polled;Average;Median;Main Story;1;11h;11h;All PlayStyles;1;11h;11h
Art Style: light trax;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Resident Evil Village;Single-Player;Polled;Average;Median;Main Story;423;9h 13m;9h 21m;Main + Extras;510;11h 24m;10h 47m;Completionists;29;37h 18m;35h;All PlayStyles;962;11h 13m;10h
Phantom Brave: We Meet Again;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Wii Sports;Single-Player;Polled;Average;Median;Main Story;57;4h 29m;4h;Main + Extras;35;18h 50m;20h;Completionists;14;24h 03m;20h;All PlayStyles;106;11h 48m;5h 21m
Max & the Magic Marker;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Ghostbusters: The Video Game;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Resident Evil Archives: Resident Evil;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Bonsai Barber
Resident Evil: The Umbrella Chronicles;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Groovin' Blocks;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Battalion Wars 2;Single-Player;Polled;Average;Median;Main Story;13;9h 38m;9h 26m;All PlayStyles;13;9h 38m;9h 26m
FIFA Soccer 10;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Resident Evil: The Darkside Chronicles;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
We Love Golf!;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Ice Age: Dawn of the Dinosaurs;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Guilty Gear XX Accent Core;Single-Player;Polled;Average;Median;Main Story;2;1h 23m;1h 23m;Main + Extras;1;30h;30h;All PlayStyles;3;10h 55m;2h
Elebits;Single-Player;Polled;Average;Median;Main Story;10;9h 22m;9h 21m;All PlayStyles;10;9h 22m;9h 21m
Sakura Wars: So Long, My Love;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Bit.Trip Fate;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Spider-Man: Shattered Dimensions;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Ivy the Kiwi?;Single-Player;Polled;Average;Median;Main Story;4;4h 45m;5h 30m;Main + Extras;2;6h 03m;6h 03m;All PlayStyles;6;5h 11m;5h 30m
Naruto: Clash of Ninja Revolution;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Marble Saga: Kororinpa;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Super Monkey Ball: Banana Blitz;Single-Player;Polled;Average;Median;Main Story;8;7h 28m;5h 54m;Main + Extras;1;10h;10h;All PlayStyles;9;7h 45m;6h
The Sky Crawlers: Innocent Aces;Single-Player;Polled;Average;Median;Main Story;6;5h 57m;6h 17m;Main + Extras;2;8h;8h;All PlayStyles;8;6h 27m;6h 45m
LEGO Batman: The Videogame;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Just Dance 3;Single-Player;Polled;Average;Median;Main Story;1;15h 23m;15h 23m;Main + Extras;1;15h;15h;Completionists;2;17h 30m;17h 30m;All PlayStyles;4;16h 20m;15h 11m
TrackMania: Build to Race;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Broken Sword: Shadow of the Templars - The Director's Cut;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Naruto Shippuden: Clash of Ninja Revolution III;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
LIT;Single-Player;Polled;Average;Median;Main Story;3;1h 11m;1h 08m;Main + Extras;1;5h 38m;5h 38m;Completionists;3;2h 33m;2h 34m;All PlayStyles;7;2h 24m;1h 30m
