Sam & Max: Season One;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Dive: The Medes Islands Secret;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Just Dance 2;Multi-Player;Polled;Average;Median;Competitive;1;50h;50h
Just Dance 4;Single-Player;Polled;Average;Median;Main + Extras;2;23h 14m;23h 14m;All PlayStyles;2;23h 14m;23h 14m
SSX Blur;Single-Player;Polled;Average;Median;Main Story;3;10h;10h;All PlayStyles;3;10h;10h
Guitar Hero: Smash Hits;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Medal of Honor: Heroes 2;Single-Player;Polled;Average;Median;Main Story;15;5h 31m;5h;Main + Extras;5;4h 33m;5h;All PlayStyles;20;5h 16m;5h
WarioWare D.I.Y. Showcase;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
The Sims 2: Castaway;Single-Player;Polled;Average;Median;Main Story;7;7h 21m;7h;Main + Extras;5;9h 38m;8h;Completionists;5;16h 16m;12h;All PlayStyles;17;10h 39m;8h
FIFA Soccer 11;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Mario Party 9;Single-Player;Polled;Average;Median;Main Story;19;5h 05m;5h;Main + Extras;7;17h 58m;14h 12m;Completionists;2;125h 12m;125h 12m;All PlayStyles;28;16h 53m;5h 22m
Pandora's Tower;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Rayman Raving Rabbids: TV Party;Single-Player;Polled;Average;Median;Main Story;3;2h 49m;2h 58m;All PlayStyles;3;2h 49m;2h 58m
Animal Crossing: City Folk;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Art Style: CUBELLO;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Virtua Tennis 2009;Single-Player;Polled;Average;Median;Main Story;1;30h;30h;Main + Extras;3;34h 09m;35h 59m;Completionists;1;72h;72h;All PlayStyles;5;40h 53m;35h 59m
LEGO Pirates of the Caribbean: The Video Game;Single-Player;Polled;Average;Median;Main Story;59;8h 25m;8h 28m;Main + Extras;44;15h 10m;15h;Completionists;78;25h 22m;25h;All PlayStyles;181;17h 22m;16h
Marvel: Ultimate Alliance;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Guitar Hero: Aerosmith;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Tomb Raider: Anniversary;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Metal Slug Anthology;Single-Player;Polled;Average;Median;Main Story;20;7h 05m;6h 24m;Main + Extras;3;11h 05m;9h 15m;Completionists;4;9h 15m;10h;All PlayStyles;27;7h 51m;7h 04m
Disney Epic Mickey;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
SNK Arcade Classics Vol. 1;Platform;Polled;Main;Main +;100%;Not enough data.;;;;
FAST - Racing League;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Dance Dance Revolution HOTTEST PARTY;Single-Player;Polled;Average;Median;Main Story;1;8h;8h;All PlayStyles;1;8h;8h
Monster Lab;Single-Player;Polled;Average;Median;Main + Extras;1;18h;18h;All PlayStyles;1;18h;18h
Resident Evil Village;Single-Player;Polled;Average;Median;Main Story;423;9h 13m;9h 21m;Main + Extras;510;11h 24m;10h 47m;Completionists;29;37h 18m;35h;All PlayStyles;962;11h 13m;10h
Dokapon Kingdom;Single-Player;Polled;Average;Median;Main Story;5;21h 28m;23h 38m;Main + Extras;2;40h 54m;40h 54m;Completionists;1;80h;80h;All PlayStyles;8;33h 39m;25h
Excite Truck;Single-Player;Polled;Average;Median;Main Story;7;6h 05m;7h;Main + Extras;5;11h 14m;11h;Completionists;4;24h;24h;All PlayStyles;16;12h 10m;10h 05m
chick chick BOOM;Platform;Polled;Main;Main +;100%;Not enough data.;;;;
Naruto: Clash of Ninja Revolution 2;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Dragon Ball Z: Budokai Tenkaichi 2;Single-Player;Polled;Average;Median;Main Story;20;13h 37m;12h;Main + Extras;14;18h 55m;18h 45m;Completionists;12;25h 34m;24h 30m;All PlayStyles;46;18h 21m;16h 40m
Disney's Chicken Little: Ace in Action;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
