Ghost Trick: Phantom Detective;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Bangai-O Spirits;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Bleach: The Blade of Fate;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Picross DS;Single-Player;Polled;Average;Median;Main Story;8;41h 28m;40h 30m;Main + Extras;9;61h 43m;53h 20m;Completionists;17;81h 56m;61h 10m;All PlayStyles;34;67h 04m;56h
Clubhouse Games;Single-Player;Polled;Average;Median;Main Story;1;23h 15m;23h 15m;Completionists;1;20h;20h;All PlayStyles;2;21h 37m;21h 37m
Picross 3D;Single-Player;Polled;Average;Median;Main Story;9;42h 38m;44h;Main + Extras;9;63h 37m;52h 46m;Completionists;30;72h 59m;69h;All PlayStyles;48;65h 32m;60h 53m
Mighty Flip Champs! DX;Single-Player;Polled;Average;Median;Main Story;1;5h 26m;5h 26m;Main + Extras;3;6h 05m;6h 14m;Completionists;1;10h 58m;10h 58m;All PlayStyles;5;6h 56m;6h 14m
Nintendogs: Chihuahua & Friends;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Art Style: PiCTOBiTS;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Professor Layton and the Last Specter;Single-Player;Polled;Average;Median;Main Story;89;12h 56m;12h 57m;Main + Extras;82;18h 21m;16h 55m;Completionists;44;27h 40m;20h 48m;All PlayStyles;215;18h 01m;15h
Nintendogs: Lab & Friends;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Ninja Gaiden: Dragon Sword;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Dragon Quest Heroes: Rocket Slime;Single-Player;Polled;Average;Median;Main Story;34;12h 18m;12h 05m;Main + Extras;18;17h 16m;14h 36m;Completionists;6;21h 58m;22h 50m;All PlayStyles;58;14h 51m;12h 52m
Contra 4;Single-Player;Polled;Average;Median;Main Story;18;3h 58m;1h 54m;Main + Extras;1;45m;45m;Completionists;2;17h 30m;17h 30m;All PlayStyles;21;5h 06m;1h 59m
Rhythm Heaven;Single-Player;Polled;Average;Median;Main Story;27;5h 48m;5h 30m;Main + Extras;27;11h 03m;9h 54m;Completionists;6;18h 18m;18h 51m;All PlayStyles;60;9h 25m;8h
Nintendogs: Dalmatian & Friends;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Kirby Mass Attack;Single-Player;Polled;Average;Median;Main Story;37;10h 48m;10h 09m;Main + Extras;33;13h 06m;12h 02m;Completionists;8;21h 09m;18h 44m;All PlayStyles;78;12h 50m;11h 37m
Dragon Quest Wars;Single-Player;Polled;Average;Median;Main Story;6;51m;51m;All PlayStyles;6;51m;51m
Nintendogs: Dachshund & Friends;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
