Super Mario Galaxy;Single-Player;Polled;Average;Median;Main Story;460;13h 36m;13h 51m;Main + Extras;328;22h 59m;22h 29m;Completionists;218;37h 46m;38h;All PlayStyles;1K;21h 54m;18h
Super Mario Galaxy 2;Single-Player;Polled;Average;Median;Main Story;254;13h 32m;13h;Main + Extras;182;22h 06m;21h;Completionists;185;33h 53m;34h;All PlayStyles;621;22h 06m;20h
Resident Evil Village;Single-Player;Polled;Average;Median;Main Story;423;9h 13m;9h 21m;Main + Extras;510;11h 24m;10h 47m;Completionists;29;37h 18m;35h;All PlayStyles;962;11h 13m;10h
World of Goo;Single-Player;Polled;Average;Median;Main Story;201;6h 05m;6h;Main + Extras;85;7h 54m;7h 30m;Completionists;28;14h 48m;12h 54m;All PlayStyles;314;7h 21m;6h 17m
Super Smash Bros. Brawl;Single-Player;Polled;Average;Median;Main Story;146;12h 10m;11h;Main + Extras;119;58h 56m;50h;Completionists;37;202h 21m;150h;All PlayStyles;302;53h 54m;20h
The Legend of Zelda: Skyward Sword;Single-Player;Polled;Average;Median;Main Story;300;38h 21m;38h 56m;Main + Extras;409;47h 32m;45h 30m;Completionists;165;58h 05m;58h 12m;All PlayStyles;874;46h 23m;45h
Rock Band 2;Single-Player;Polled;Average;Median;Main Story;21;9h 17m;9h;Main + Extras;19;86h 15m;50h 20m;Completionists;9;150h 53m;120h;All PlayStyles;49;65h 08m;17h 28m
Xenoblade Chronicles;Single-Player;Polled;Average;Median;Main Story;313;69h 34m;67h;Main + Extras;437;101h 41m;99h;Completionists;82;162h 06m;160h;All PlayStyles;832;95h 33m;85h 16m
Rayman Origins;Single-Player;Polled;Average;Median;Main Story;219;10h 55m;10h 45m;Main + Extras;204;14h 43m;14h;Completionists;100;21h 47m;20h 36m;All PlayStyles;523;14h 29m;12h 30m
Rock Band 3;Single-Player;Polled;Average;Median;Main Story;17;9h 02m;9h;Main + Extras;23;36h 44m;35h;Completionists;8;150h 03m;124h;All PlayStyles;48;45h 49m;24h 50m
Metroid Prime: Trilogy;Single-Player;Polled;Average;Median;Main Story;18;45h 51m;45h;Main + Extras;15;48h 37m;48h;Completionists;13;71h 39m;64h 18m;All PlayStyles;46;54h 03m;50h
Resident Evil 4: Wii Edition;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
ŌKAMI;Single-Player;Polled;Average;Median;Main Story;390;33h 52m;32h 53m;Main + Extras;401;42h 11m;40h 07m;Completionists;197;53h 46m;52h 34m;All PlayStyles;988;41h 13m;39h 17m

The Beatles: Rock Band;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Cave Story;Single-Player;Polled;Average;Median;Main Story;73;7h 42m;7h;Main + Extras;24;8h 44m;8h 08m;Completionists;7;14h 58m;13h;All PlayStyles;104;8h 25m;7h 57m
Guitar Hero 5;Single-Player;Polled;Average;Median;Main Story;23;8h 05m;7h;Main + Extras;11;27h 13m;29h 43m;Completionists;1;74h;74h;All PlayStyles;35;15h 59m;8h
DJ Hero 2;Single-Player;Polled;Average;Median;Main Story;16;7h 11m;7h;Main + Extras;5;10h 39m;10h 10m;All PlayStyles;21;8h 01m;7h 33m
Tiger Woods PGA Tour 10;Single-Player;Polled;Average;Median;Main Story;1;12h;12h;All PlayStyles;1;12h;12h
Art of Balance;Single-Player;Polled;Average;Median;Main Story;3;6h 45m;7h;Main + Extras;6;8h 01m;7h 11m;All PlayStyles;9;7h 36m;7h
La-Mulana;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
New Super Mario Bros. Wii;Single-Player;Polled;Average;Median;Main Story;159;9h 11m;9h;Main + Extras;81;13h 29m;13h;Completionists;82;20h 20m;19h 33m;All PlayStyles;322;13h 06m;10h 32m
DJ Hero;Single-Player;Polled;Average;Median;Main Story;13;7h 59m;7h;Main + Extras;8;10h 45m;10h;Completionists;3;15h 40m;15h;All PlayStyles;24;9h 52m;8h 57m
Donkey Kong Country Returns;Single-Player;Polled;Average;Median;Main Story;144;12h 23m;12h;Main + Extras;87;19h 54m;18h 48m;Completionists;23;39h 14m;35h 11m;All PlayStyles;254;17h 24m;14h
Zack & Wiki: Quest for Barbaros' Treasure;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Little King's Story;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Sin & Punishment: Star Successor;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
LostWinds: Winter of the Melodias;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Kirby's Epic Yarn;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Bomberman Blast;Single-Player;Polled;Average;Median;Main Story;1;1h 01m;1h 01m;All PlayStyles;1;1h 01m;1h 01m
Boom Blox Bash Party;Single-Player;Polled;Average;Median;Main Story;3;7h 55m;6h;Main + Extras;3;19h 40m;20h;All PlayStyles;6;13h 47m;16h 34m
Fluidity;Single-Player;Polled;Average;Median;Main Story;2;8h 35m;8h 35m;Main + Extras;2;17h 59m;17h 59m;Completionists;2;17h 24m;17h 24m;All PlayStyles;6;14h 39m;11h 52m
Punch-Out!!;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Guitar Hero World Tour;Single-Player;Polled;Average;Median;Main Story;32;9h 10m;8h 22m;Main + Extras;26;24h 56m;21h 17m;Completionists;7;32h 04m;28h;All PlayStyles;65;17h 57m;10h 10m
Guitar Hero III: Legends of Rock;Single-Player;Polled;Average;Median;Main Story;94;8h 39m;8h;Main + Extras;62;26h 01m;20h;Completionists;15;24h 43m;25h 38m;All PlayStyles;171;16h 21m;10h
Tetris Party;Single-Player;Polled;Average;Median;Main Story;3;2h 45m;3h;All PlayStyles;3;2h 45m;3h
Tatsunoko vs. Capcom: Ultimate All-Stars;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Maboshi's Arcade;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Super Paper Mario;Single-Player;Polled;Average;Median;Main Story;157;18h 28m;18h 09m;Main + Extras;98;24h 27m;22h 55m;Completionists;23;45h 33m;46h 25m;All PlayStyles;278;22h 49m;20h
Guitar Hero: Metallica;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Boom Blox;Single-Player;Polled;Average;Median;Main Story;6;4h 55m;4h 15m;Main + Extras;7;21h 05m;9h 45m;All PlayStyles;13;13h 37m;8h
