Cuphead;Single-Player;Polled;Average;Median;Main Story;512;10h 23m;10h;Main + Extras;525;15h 40m;14h;Completionists;185;23h 26m;20h;All PlayStyles;1.2K;14h 38m;12h 48m
Myth II: Soulblighter;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Halo: The Master Chief Collection - Halo 3;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Return to Castle Wolfenstein;Single-Player;Polled;Average;Median;Main Story;191;8h 04m;8h;Main + Extras;66;10h 13m;10h;Completionists;37;11h 51m;11h;All PlayStyles;294;9h 02m;8h 52m
Ori and the Blind Forest: Definitive Edition;Single-Player;Polled;Average;Median;Main Story;996;8h 55m;8h 33m;Main + Extras;1.1K;11h 16m;10h 30m;Completionists;709;12h 40m;11h 30m;All PlayStyles;2.8K;10h 47m;10h
Shogo: Mobile Armor Division;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Thirty Flights of Loving;Single-Player;Polled;Average;Median;Main Story;207;19m;16m;Main + Extras;62;33m;30m;Completionists;78;43m;40m;All PlayStyles;347;27m;20m
It Takes Two;Single-Player;Polled;Average;Median;Main Story;114;11h 36m;11h 18m;Main + Extras;122;13h 20m;13h;Completionists;50;15h 09m;14h 28m;All PlayStyles;286;12h 58m;12h 30m
Hearthstone: Heroes of Warcraft;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Unity of Command II;Single-Player;Polled;Average;Median;Main Story;1;42h;42h;Main + Extras;1;29h;29h;Completionists;1;45h;45h;All PlayStyles;3;38h 40m;42h
Medieval II: Total War;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Apex Legends;Multi-Player;Polled;Average;Median;Competitive;40;157h 39m;54h 30m
F1 2002;Platform;Polled;Main;Main +;100%;Not enough data.;;;;
The Stanley Parable (2013);Single-Player;Polled;Average;Median;Main Story;763;1h 28m;1h 20m;Main + Extras;903;2h 50m;2h 30m;Completionists;338;10h 02m;5h;All PlayStyles;2K;3h 31m;2h 02m
Guacamelee! Gold Edition;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
BioShock 2;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Counter-Strike: Source;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Sid Meier's Civilization VI;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Battlefield 1;Single-Player;Polled;Average;Median;Main Story;591;6h 43m;6h 30m;Main + Extras;166;9h 38m;8h 53m;Completionists;55;19h 39m;16h;All PlayStyles;812;8h 11m;7h
Starcraft II: Legacy of the Void;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Diablo III;Single-Player;Polled;Average;Median;Main Story;357;18h 24m;18h;Main + Extras;284;53h 48m;33h;Completionists;36;160h 20m;138h 18m;All PlayStyles;677;40h 48m;20h 25m
F1 2020;Single-Player;Polled;Average;Median;Main Story;7;33h 45m;26h 16m;Main + Extras;5;28h 26m;27h;Completionists;6;75h 50m;65h;All PlayStyles;18;46h 18m;32h 30m
Monster Hunter: World;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Rise of Nations: Thrones & Patriots;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Sid Meier's Pirates!;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
EVE Online: Special Edition;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Armadillo Run;Platform;Polled;Main;Main +;100%;Not enough data.;;;;
World of Warcraft: Legion;Multi-Player;Polled;Average;Median;Co-Op;9;1086h 35m;100h;Competitive;3;1695h 05m;2062h 15m
Pillars of Eternity II: Deadfire;Single-Player;Polled;Average;Median;Main Story;16;42h 36m;41h 30m;Main + Extras;126;61h 01m;56h;Completionists;53;93h 46m;84h 12m;All PlayStyles;195;68h 24m;60h 42m
DOOM Eternal;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Dark Age of Camelot
Baldur's Gate II: Throne of Bhaal;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Counter-Strike;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Owlboy;Single-Player;Polled;Average;Median;Main Story;287;8h 23m;8h;Main + Extras;154;10h 14m;10h;Completionists;68;13h 08m;12h 47m;All PlayStyles;509;9h 35m;9h
Celeste;Single-Player;Polled;Average;Median;Main Story;1.6K;8h 25m;8h;Main + Extras;890;15h 09m;12h 08m;Completionists;247;39h 41m;36h 44m;All PlayStyles;2.7K;13h 26m;9h 20m
Tony Hawk's Pro Skater 4;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Night in the Woods;Single-Player;Polled;Average;Median;Main Story;313;8h 51m;8h 25m;Main + Extras;345;12h 14m;11h 51m;Completionists;34;24h 21m;23h 38m;All PlayStyles;692;11h 18m;10h
