Ori and the Blind Forest;Single-Player;Polled;Average;Median;Main Story;289;8h 18m;8h;Main + Extras;403;10h 23m;10h;Completionists;150;11h 37m;10h 31m;All PlayStyles;842;9h 53m;9h 19m
Forza Horizon 4;Single-Player;Polled;Average;Median;Main Story;137;13h 32m;11h;Main + Extras;155;41h 27m;33h 49m;Completionists;42;122h 54m;97h 42m;All PlayStyles;334;40h 14m;25h
Diablo II;Single-Player;Polled;Average;Median;Main Story;111;35h 18m;35h;Main + Extras;72;51h 08m;40h;Completionists;22;177h 02m;180h;All PlayStyles;205;56h 04m;36h
Resident Evil Village;Single-Player;Polled;Average;Median;Main Story;422;9h 14m;9h 21m;Main + Extras;510;11h 24m;10h 47m;Completionists;29;37h 18m;35h;All PlayStyles;961;11h 13m;10h
Plants vs. Zombies;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
DOOM 3;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Subnautica;Single-Player;Polled;Average;Median;Main Story;224;28h 31m;28h;Main + Extras;378;46h 19m;42h;Completionists;246;61h 54m;52h;All PlayStyles;848;46h 08m;40h
Super Meat Boy;Single-Player;Polled;Average;Median;Main Story;392;9h 50m;10h;Main + Extras;207;18h 56m;17h 15m;Completionists;81;46h 49m;41h 33m;All PlayStyles;680;17h;12h
Football Manager 2010;Single-Player;Polled;Average;Median;Main Story;7;441h 08m;200h;Main + Extras;6;391h 34m;190h;All PlayStyles;13;418h 15m;200h
Resident Evil Village;Single-Player;Polled;Average;Median;Main Story;422;9h 14m;9h 21m;Main + Extras;510;11h 24m;10h 47m;Completionists;29;37h 18m;35h;All PlayStyles;961;11h 13m;10h
Hitman 3;Single-Player;Polled;Average;Median;Main Story;98;7h 43m;7h 59m;Main + Extras;53;16h 49m;13h;Completionists;6;44h 52m;46h 18m;All PlayStyles;157;12h 13m;8h 48m
RimWorld;Single-Player;Polled;Average;Median;Main Story;25;63h 52m;40h;Main + Extras;18;108h 05m;83h;Completionists;10;319h 34m;320h 30m;All PlayStyles;53;127h 08m;79h
Tom Clancy's Splinter Cell: Pandora Tomorrow;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Europa Universalis II;Single-Player;Polled;Average;Median;Main Story;1;22h 36m;22h 36m;All PlayStyles;1;22h 36m;22h 36m
Burnout Paradise: The Ultimate Box;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Battlefield: Bad Company 2;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Steins;Gate;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Race Driver: Grid;Single-Player;Polled;Average;Median;Main Story;69;19h 40m;21h;Main + Extras;31;24h 50m;24h 20m;Completionists;37;40h 27m;31h 57m;All PlayStyles;137;26h 27m;23h
Crypt of the NecroDancer;Single-Player;Polled;Average;Median;Main Story;76;14h 54m;14h;Main + Extras;47;25h 03m;20h;Completionists;4;54h 28m;50h 30m;All PlayStyles;127;19h 54m;15h
Legends of Runeterra;Single-Player;Polled;Average;Median;Main Story;4;38h 30m;39h 30m;All PlayStyles;4;38h 30m;39h 30m
Sins of a Solar Empire;Single-Player;Polled;Average;Median;Main + Extras;2;57h 30m;57h 30m;Completionists;1;19h 23m;19h 23m;All PlayStyles;3;44h 47m;40h
MechWarrior 4: Vengeance;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Thief II: The Metal Age;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Diablo II: Lord of Destruction;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Monkey Island 2 Special Edition: LeChuck's Revenge;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Half-Life 2: Episode One;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Resident Evil Village;Single-Player;Polled;Average;Median;Main Story;422;9h 14m;9h 21m;Main + Extras;510;11h 24m;10h 47m;Completionists;29;37h 18m;35h;All PlayStyles;961;11h 13m;10h
Baba Is You (2019);Single-Player;Polled;Average;Median;Main Story;49;6h 55m;4h 35m;Main + Extras;57;20h 06m;19h;Completionists;48;48h 07m;45h 42m;All PlayStyles;154;24h 38m;19h 06m
Hitman 2: Silent Assassin;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Year Walk;Single-Player;Polled;Average;Median;Main Story;95;1h 37m;1h 34m;Main + Extras;55;2h 09m;2h;Completionists;62;2h 30m;2h 24m;All PlayStyles;212;2h 01m;2h
Max Payne 3;Single-Player;Polled;Average;Median;Main Story;1.2K;10h 12m;10h;Main + Extras;472;13h 35m;12h 07m;Completionists;38;31h 38m;30h 28m;All PlayStyles;1.7K;11h 38m;10h 18m
TowerFall Ascension;Single-Player;Polled;Average;Median;Main Story;31;3h 23m;3h 26m;Main + Extras;15;11h 33m;8h 28m;Completionists;1;18h 41m;18h 41m;All PlayStyles;47;6h 19m;4h
Resident Evil Village;Single-Player;Polled;Average;Median;Main Story;422;9h 14m;9h 21m;Main + Extras;510;11h 24m;10h 47m;Completionists;29;37h 18m;35h;All PlayStyles;961;11h 13m;10h
Battlefield 3: Armored Kill;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
NHL 2002;Single-Player;Polled;Average;Median;Main Story;4;26h 41m;32h 30m;Completionists;1;40h;40h;All PlayStyles;5;29h 21m;35h
Icewind Dale;Single-Player;Polled;Average;Median;Main Story;19;33h 57m;35h;Main + Extras;19;44h 06m;44h 33m;Completionists;14;53h 44m;51h 02m;All PlayStyles;52;42h 59m;40h
Resident Evil Village;Single-Player;Polled;Average;Median;Main Story;422;9h 14m;9h 21m;Main + Extras;510;11h 24m;10h 47m;Completionists;29;37h 18m;35h;All PlayStyles;961;11h 13m;10h
Brothers in Arms: Road to Hill 30;Single-Player;Polled;Average;Median;Main Story;79;7h 44m;8h;Main + Extras;11;10h 30m;10h;Completionists;9;12h 09m;10h;All PlayStyles;99;8h 26m;8h
Kohan: Immortal Sovereigns;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Dead Space 2;Single-Player;Polled;Average;Median;Main Story;830;9h 18m;9h;Main + Extras;430;11h 50m;11h 30m;Completionists;80;17h 23m;15h;All PlayStyles;1.3K;10h 35m;10h
Raw Data;Single-Player;Polled;Average;Median;Main Story;9;5h 32m;5h 30m;Main + Extras;7;9h 16m;10h;All PlayStyles;16;7h 10m;6h 18m
Diablo III: Reaper of Souls;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Shogun: Total War Warlord Edition;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Serious Sam: The First Encounter;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Grand Prix 3;Platform;Polled;Main;Main +;100%;Not enough data.;;;;
Call of Duty: United Offensive;Single-Player;Polled;Average;Median;Main Story;111;5h 41m;5h 42m;Main + Extras;13;6h 06m;6h;Completionists;16;8h 44m;7h 40m;All PlayStyles;140;6h 04m;5h 50m
Divinity: Original Sin;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Unavowed;Single-Player;Polled;Average;Median;Main Story;61;9h 28m;9h 16m;Main + Extras;35;10h 58m;10h 49m;Completionists;7;18h 23m;15h;All PlayStyles;103;10h 35m;10h
Company of Heroes: Opposing Fronts;Single-Player;Polled;Average;Median;Main Story;34;13h 32m;14h;Main + Extras;19;16h 13m;15h;Completionists;6;60h 08m;22h 35m;All PlayStyles;59;19h 08m;14h
Psychonauts;Single-Player;Polled;Average;Median;Main Story;310;12h 36m;12h 20m;Main + Extras;347;16h 07m;15h 02m;Completionists;180;22h 17m;22h;All PlayStyles;837;16h 09m;15h
Gears of War;Single-Player;Polled;Average;Median;Main Story;405;9h 09m;9h;Main + Extras;138;12h 21m;11h 35m;Completionists;29;33h 11m;23h;All PlayStyles;572;11h 09m;9h 46m
Out of the Park Baseball 14;Platform;Polled;Main;Main +;100%;Not enough data.;;;;
Monster Hunter: World - Iceborne;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
F1 2019;Single-Player;Polled;Average;Median;Main Story;12;29h 42m;22h 40m;Main + Extras;7;47h;41h 30m;Completionists;5;114h 30m;80h;All PlayStyles;24;52h 25m;41h 15m
INSIDE;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Europa Universalis IV;Single-Player;Polled;Average;Median;Main Story;36;120h 20m;87h;Main + Extras;23;355h 24m;273h;Completionists;15;1751h 51m;1040h;All PlayStyles;74;524h 06m;151h
Persona 4 Golden;Single-Player;Polled;Average;Median;Main Story;860;68h 59m;68h;Main + Extras;1.2K;85h 36m;82h 55m;Completionists;214;139h 12m;140h;All PlayStyles;2.2K;84h 20m;79h
Sunless Skies;Single-Player;Polled;Average;Median;Main Story;3;31h 25m;30h 15m;Main + Extras;3;56h;48h 01m;Completionists;2;101h 30m;101h 30m;All PlayStyles;8;58h 09m;46h
Total War: WARHAMMER II;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
NHL 2004;Single-Player;Polled;Average;Median;Main Story;1;30h;30h;All PlayStyles;1;30h;30h
Zeus: Master of Olympus;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Hex: Shards of Fate;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
World of Warcraft: Warlords of Draenor;Multi-Player;Polled;Average;Median;Co-Op;6;1053h;350h;Competitive;1;750h;750h
