The Legend of Zelda: Breath of the Wild;Single-Player;Polled;Average;Median;Main Story;1.6K;50h 19m;50h;Main + Extras;3.7K;99h 29m;93h 15m;Completionists;755;191h;185h;All PlayStyles;6.1K;97h 46m;83h
Jotun: Valhalla Edition;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Edge (2008);Single-Player;Polled;Average;Median;Main Story;37;3h 49m;3h 24m;Main + Extras;32;8h 12m;8h;Completionists;15;13h 31m;11h 10m;All PlayStyles;84;7h 13m;6h 02m
Teslagrad;Single-Player;Polled;Average;Median;Main Story;73;5h 11m;5h;Main + Extras;34;5h 28m;5h 08m;Completionists;82;6h 50m;6h 30m;All PlayStyles;189;5h 57m;5h 42m
Little Inferno;Single-Player;Polled;Average;Median;Main Story;387;3h 20m;3h 12m;Main + Extras;153;4h 15m;4h;Completionists;312;4h 33m;4h 06m;All PlayStyles;852;3h 57m;3h 40m
Scram Kitty and his Buddy on Rails;Single-Player;Polled;Average;Median;Main Story;4;9h 03m;9h 45m;All PlayStyles;4;9h 03m;9h 45m
Noitu Love: Devolution;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Extreme Exorcism;Single-Player;Polled;Average;Median;Main Story;9;3h 01m;3h;Main + Extras;3;3h 45m;3h 10m;Completionists;2;6h 45m;6h 45m;All PlayStyles;14;3h 43m;3h 06m
Yoshi's Woolly World;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Swords & Soldiers HD;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Adventures of Pip;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
The Wonderful 101;Single-Player;Polled;Average;Median;Main Story;109;16h 48m;16h 25m;Main + Extras;41;23h 17m;21h;Completionists;7;78h 58m;84h 12m;All PlayStyles;157;21h 16m;17h 25m
Electronic Super Joy;Single-Player;Polled;Average;Median;Main Story;68;3h 13m;3h;Main + Extras;25;6h 50m;6h 55m;Completionists;6;17h 30m;16h 35m;All PlayStyles;99;5h;3h 32m
Sonic & All-Stars Racing Transformed;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Nintendo Land;Single-Player;Polled;Average;Median;Main Story;38;10h 29m;10h;Main + Extras;28;22h 48m;20h;Completionists;8;44h 41m;45h 25m;All PlayStyles;74;18h 50m;15h 45m
Minecraft: Wii U Edition;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
RUSH;Single-Player;Polled;Average;Median;Main Story;21;3h 05m;3h;Main + Extras;23;7h 24m;6h;Completionists;16;8h 15m;7h 53m;All PlayStyles;60;6h 07m;4h 52m
LEGO Batman 2: DC Super Heroes;Single-Player;Polled;Average;Median;Main Story;124;9h 34m;9h;Main + Extras;66;16h 24m;15h;Completionists;112;25h 02m;25h;All PlayStyles;302;16h 48m;14h 45m
Zombi (2012);Single-Player;Polled;Average;Median;Main Story;104;11h 39m;12h;Main + Extras;65;15h 21m;14h 25m;Completionists;17;20h 52m;20h;All PlayStyles;186;13h 47m;12h 55m
Dungeons & Dragons: Chronicles of Mystara;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
New Super Luigi U;Single-Player;Polled;Average;Median;Main Story;73;4h 35m;4h 30m;Main + Extras;14;8h 31m;7h 33m;Completionists;48;11h 55m;10h 06m;All PlayStyles;135;7h 36m;6h 07m
Tetrobot and Co.;Single-Player;Polled;Average;Median;Main Story;6;8h 59m;9h;Main + Extras;4;12h 19m;13h 57m;Completionists;25;16h 48m;15h;All PlayStyles;35;14h 57m;14h 34m
Knytt Underground;Single-Player;Polled;Average;Median;Main Story;7;9h 31m;10h;Main + Extras;21;17h 42m;15h 31m;Completionists;6;23h 54m;25h 15m;All PlayStyles;34;17h 07m;15h 15m
Nihilumbra;Single-Player;Polled;Average;Median;Main Story;122;2h 42m;2h 30m;Main + Extras;18;4h 27m;3h 32m;Completionists;30;10h 16m;10h;All PlayStyles;170;4h 13m;3h
Toki Tori 2+;Single-Player;Polled;Average;Median;Main Story;18;8h 59m;8h 27m;Main + Extras;3;19h 33m;20h;Completionists;8;22h 15m;21h;All PlayStyles;29;13h 44m;10h
Pokkén Tournament DX;Single-Player;Polled;Average;Median;Main Story;41;8h 10m;8h;Main + Extras;11;22h;15h;Completionists;6;64h 50m;72h 30m;All PlayStyles;58;16h 39m;10h
Elliot Quest;Single-Player;Polled;Average;Median;Main Story;3;13h 53m;14h 05m;Main + Extras;9;17h 31m;16h 15m;Completionists;1;16h;16h;All PlayStyles;13;16h 34m;15h
Your Shape: Fitness Evolved 2013;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Disney DuckTales Remastered;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Chariot;Single-Player;Polled;Average;Median;Main Story;5;12h 30m;13h;Completionists;1;30h;30h;All PlayStyles;6;15h 25m;13h 08m
Hyrule Warriors;Single-Player;Polled;Average;Median;Main Story;152;13h 05m;12h 23m;Main + Extras;92;41h 47m;24h 10m;Completionists;15;217h 13m;200h 01m;All PlayStyles;259;35h 06m;15h
Lone Survivor: The Director's Cut;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Paper Mario: Color Splash;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
XType Plus;Single-Player;Polled;Average;Median;Completionists;1;10m;10m;All PlayStyles;1;10m;10m
Madden NFL 13;Single-Player;Polled;Average;Median;Main Story;4;19h 56m;17h 52m;Main + Extras;4;91h 30m;40h;All PlayStyles;8;55h 43m;30h
Don't Starve: Giant Edition;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Spin the Bottle: Bumpie's Party;Single-Player;Polled;Average;Median;Main Story;1;1h 30m;1h 30m;All PlayStyles;1;1h 30m;1h 30m
Cloudberry Kingdom;Single-Player;Polled;Average;Median;Main Story;8;7h 49m;7h 48m;Main + Extras;5;7h 30m;9h;All PlayStyles;13;7h 42m;8h
