The Legend of Zelda: Ocarina of Time 3D;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Fire Emblem: Awakening;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Mario Kart 7;Single-Player;Polled;Average;Median;Main Story;166;8h 13m;8h 32m;Main + Extras;161;20h 18m;15h 30m;Completionists;82;56h 20m;42h 56m;All PlayStyles;409;22h 37m;13h 19m
Radiant Historia: Perfect Chronology;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Pokemon Ultra Sun;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Shin Megami Tensei: Devil Survivor 2 - Record Breaker;Single-Player;Polled;Average;Median;Main Story;41;41h 26m;39h;Main + Extras;29;60h 57m;59h 44m;Completionists;2;147h 46m;147h 46m;All PlayStyles;72;52h 15m;45h 41m
Mario & Luigi: Bowser's Inside Story + Bowser Jr.'s Journey;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Etrian Odyssey IV: Legends of the Titan;Single-Player;Polled;Average;Median;Main Story;33;54h 26m;56h 45m;Main + Extras;50;77h 44m;73h 06m;Completionists;19;97h 52m;91h 52m;All PlayStyles;102;73h 57m;70h 09m
Pokemon Ultra Moon;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Shin Megami Tensei IV: Apocalypse;Single-Player;Polled;Average;Median;Main Story;67;44h 11m;44h 55m;Main + Extras;122;65h 55m;63h 02m;Completionists;9;80h 16m;70h;All PlayStyles;198;59h 13m;56h 38m
Kid Icarus: Uprising;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Donkey Kong Country Returns 3D;Single-Player;Polled;Average;Median;Main Story;123;11h 35m;11h;Main + Extras;86;19h 03m;16h 39m;Completionists;27;29h 02m;26h 48m;All PlayStyles;236;16h 18m;13h 28m
Shin Megami Tensei IV;Single-Player;Polled;Average;Median;Main Story;217;44h 12m;42h;Main + Extras;285;63h 31m;61h 54m;Completionists;16;131h 18m;107h 10m;All PlayStyles;518;57h 31m;53h 12m
Persona Q: Shadow of the Labyrinth;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Retro City Rampage DX;Single-Player;Polled;Average;Median;Main Story;75;5h 33m;5h 24m;Main + Extras;52;9h 02m;8h;Completionists;6;20h 20m;20h 33m;All PlayStyles;133;7h 35m;6h 07m
Pocket Card Jockey;Single-Player;Polled;Average;Median;Main Story;7;21h 13m;23h;Main + Extras;11;47h 24m;45h 14m;All PlayStyles;18;37h 13m;35h 55m
BYE-BYE BOXBOY!;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Stretchmo;Single-Player;Polled;Average;Median;Main Story;4;8h 46m;6h 02m;Main + Extras;1;6h 47m;6h 47m;Completionists;4;28h 34m;26h 57m;All PlayStyles;9;17h 21m;18h
Pokemon Omega Ruby;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
VVVVVV;Single-Player;Polled;Average;Median;Main Story;506;2h 31m;2h 20m;Main + Extras;281;3h 41m;3h 16m;Completionists;88;5h 12m;4h 20m;All PlayStyles;875;3h 10m;2h 44m
Rhythm Heaven Megamix;Single-Player;Polled;Average;Median;Main Story;45;9h 11m;8h 08m;Main + Extras;42;18h 44m;13h 47m;Completionists;5;52h 09m;40h;All PlayStyles;92;15h 53m;10h 14m
Theatrhythm Final Fantasy: Curtain Call;Single-Player;Polled;Average;Median;Main Story;79;12h 07m;11h 47m;Main + Extras;54;34h 42m;31h 08m;Completionists;5;117h 15m;92h 12m;All PlayStyles;138;24h 46m;14h 36m
Pokemon Alpha Sapphire;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Cave Story 3D;Single-Player;Polled;Average;Median;Main Story;16;6h 32m;5h 58m;Main + Extras;6;12h 52m;11h 21m;Completionists;4;19h 01m;19h 17m;All PlayStyles;26;9h 55m;7h 43m
Resident Evil: Revelations;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Professor Layton and the Miracle Mask;Single-Player;Polled;Average;Median;Main Story;113;18h 06m;17h;Main + Extras;112;25h 50m;23h 24m;Completionists;60;38h 40m;34h 19m;All PlayStyles;285;25h 28m;22h
Etrian Odyssey 2 Untold: The Fafnir Knight;Single-Player;Polled;Average;Median;Main Story;9;44h 09m;42h 27m;Main + Extras;15;56h 06m;53h 31m;Completionists;2;90h 12m;90h 12m;All PlayStyles;26;54h 36m;50h 05m
Shantae and the Pirate's Curse;Single-Player;Polled;Average;Median;Main Story;152;8h 11m;7h 55m;Main + Extras;161;9h 54m;9h 30m;Completionists;212;10h 30m;10h 11m;All PlayStyles;525;9h 39m;9h 14m
Skylanders: Spyro's Adventure;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Gunman Clive;Single-Player;Polled;Average;Median;Main Story;226;1h 16m;1h;Main + Extras;35;2h 06m;2h;Completionists;26;3h 28m;2h 55m;All PlayStyles;287;1h 34m;1h 11m
Art of Balance TOUCH!;Single-Player;Polled;Average;Median;Main + Extras;4;10h 41m;10h 33m;All PlayStyles;4;10h 41m;10h 33m
SteamWorld Dig;Single-Player;Polled;Average;Median;Main Story;579;5h 08m;5h;Main + Extras;449;6h 43m;6h 18m;Completionists;180;8h 21m;7h 55m;All PlayStyles;1.2K;6h 12m;5h 48m
Siesta Fiesta;Single-Player;Polled;Average;Median;Main Story;7;6h 08m;5h;Completionists;1;16h 15m;16h 15m;All PlayStyles;8;7h 24m;5h 16m
Kirby: Planet Robobot;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Mario & Luigi: Superstar Saga + Bowser's Minions;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Art Academy: Lessons for Everyone;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Phoenix Wright: Ace Attorney - Dual Destinies;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Phoenix Wright: Ace Attorney Trilogy;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
