Stephen's Sausage Roll;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Tony Hawk's Pro Skater 3;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Deus Ex;Single-Player;Polled;Average;Median;Main Story;221;22h 40m;23h;Main + Extras;333;29h 18m;28h;Completionists;102;40h 33m;37h;All PlayStyles;656;28h 49m;26h 50m
Half-Life 2: Episode Two;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Braid;Single-Player;Polled;Average;Median;Main Story;507;5h 08m;5h;Main + Extras;344;5h 59m;6h;Completionists;157;8h 19m;7h;All PlayStyles;1K;5h 55m;5h 30m
The Chronicles of Riddick: Escape From Butcher Bay - Developer's Cut;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Sid Meier's Civilization III;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Silent Hunter III;Single-Player;Polled;Average;Median;Main Story;1;56h;56h;Main + Extras;1;20h;20h;All PlayStyles;2;38h;38h
Bayonetta;Single-Player;Polled;Average;Median;Main Story;1.4K;11h 29m;11h 04m;Main + Extras;466;16h 05m;15h;Completionists;63;45h 02m;40h;All PlayStyles;1.9K;13h 43m;12h
Sid Meier's Civilization V;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Falcon 4.0: Allied Force;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Deus Ex: Human Revolution;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Microsoft Flight Simulator 2002;Platform;Polled;Main;Main +;100%;Not enough data.;;;;
Brothers: A Tale of Two Sons;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Dota 2;Multi-Player;Polled;Average;Median;Co-Op;23;1830h 11m;1261h;Competitive;52;2165h 25m;1675h 03m
Guild Wars 2;Single-Player;Polled;Average;Median;Main Story;23;86h 29m;84h;Main + Extras;25;254h 10m;200h;Completionists;9;1201h 53m;1100h;All PlayStyles;57;336h 09m;150h
Freedom Force (2002);Single-Player;Polled;Average;Median;Main Story;11;19h 24m;15h 30m;Main + Extras;8;23h 32m;20h;Completionists;2;20h;20h;All PlayStyles;21;21h 02m;20h
Into the Breach;Single-Player;Polled;Average;Median;Main Story;192;5h 35m;5h;Main + Extras;136;19h 39m;17h;Completionists;54;47h 23m;41h 48m;All PlayStyles;382;16h 30m;8h
GTR 2;Single-Player;Polled;Average;Median;Main Story;2;8h 30m;8h 30m;Completionists;1;23h 12m;23h 12m;All PlayStyles;3;13h 24m;9h
Grand Theft Auto IV;Single-Player;Polled;Average;Median;Main Story;779;27h 45m;28h;Main + Extras;651;41h 55m;40h;Completionists;141;78h 25m;75h 34m;All PlayStyles;1.6K;38h 10m;32h
Total War: Shogun 2;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Empire: Total War;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Kentucky Route Zero - Act IV;Single-Player;Polled;Average;Median;Main Story;15;2h 02m;2h;Main + Extras;12;2h 46m;2h 32m;Completionists;2;2h 45m;2h 45m;All PlayStyles;29;2h 23m;2h 20m
Command & Conquer: Red Alert;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Resident Evil Village;Single-Player;Polled;Average;Median;Main Story;422;9h 14m;9h 21m;Main + Extras;510;11h 24m;10h 47m;Completionists;29;37h 18m;35h;All PlayStyles;961;11h 13m;10h
Star Wars Jedi Knight II: Jedi Outcast;Single-Player;Polled;Average;Median;Main Story;128;12h 55m;12h 14m;Main + Extras;60;17h 08m;15h 57m;Completionists;27;18h 48m;17h;All PlayStyles;215;14h 50m;14h
Resident Evil 2;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
The Walking Dead: A Telltale Games Series;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Age of Mythology;Single-Player;Polled;Average;Median;Main Story;33;16h 41m;15h;Main + Extras;15;19h 44m;20h;Completionists;14;23h 43m;23h 50m;All PlayStyles;62;19h 01m;16h 20m
Sacrifice (2000);Single-Player;Polled;Average;Median;Main Story;10;9h 31m;8h 56m;Main + Extras;2;14h 30m;14h 30m;Completionists;1;22h;22h;All PlayStyles;13;11h 14m;9h
Dark Souls III;Single-Player;Polled;Average;Median;Main Story;956;32h 44m;31h 56m;Main + Extras;1.6K;49h 56m;45h;Completionists;519;98h 25m;90h;All PlayStyles;3K;52h 48m;43h
Pillars of Eternity;Single-Player;Polled;Average;Median;Main Story;92;36h 20m;34h 37m;Main + Extras;403;63h 30m;58h 01m;Completionists;101;106h 43m;97h 32m;All PlayStyles;596;66h 38m;59h 45m
The Elder Scrolls III: Morrowind;Single-Player;Polled;Average;Median;Main Story;78;44h 04m;45h;Main + Extras;121;117h 37m;100h;Completionists;30;361h 24m;300h;All PlayStyles;229;124h 30m;75h 42m
Rocksmith 2014 Edition;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Fallout;Single-Player;Polled;Average;Median;Main Story;132;16h 44m;16h 30m;Main + Extras;236;23h 11m;22h;Completionists;73;31h 38m;32h;All PlayStyles;441;22h 39m;21h 29m
World Soccer Winning Eleven 9;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Worldwide Soccer Manager 2005;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Resident Evil Village;Single-Player;Polled;Average;Median;Main Story;422;9h 14m;9h 21m;Main + Extras;510;11h 24m;10h 47m;Completionists;29;37h 18m;35h;All PlayStyles;961;11h 13m;10h
There is no game : Wrong dimension;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Left 4 Dead;Single-Player;Polled;Average;Median;Main Story;304;6h 56m;6h 47m;Main + Extras;131;20h 23m;15h;Completionists;22;62h 17m;59h 35m;All PlayStyles;457;13h 27m;7h
Left 4 Dead 2;Single-Player;Polled;Average;Median;Main Story;324;10h 05m;9h;Main + Extras;211;26h 06m;21h;Completionists;38;50h 10m;40h 03m;All PlayStyles;573;18h 38m;11h 50m
F1 2017;Single-Player;Polled;Average;Median;Main Story;9;51h 37m;28h;Main + Extras;1;20h;20h;Completionists;2;377h 21m;377h 21m;All PlayStyles;12;103h 16m;29h 30m
Devil May Cry 5;Single-Player;Polled;Average;Median;Main Story;862;11h 12m;11h;Main + Extras;316;16h 23m;15h;Completionists;28;65h 46m;69h 44m;All PlayStyles;1.2K;13h 49m;12h
NASCAR Racing 2002 Season;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Mass Effect;Single-Player;Polled;Average;Median;Main Story;1.2K;17h 39m;16h 35m;Main + Extras;1.8K;29h 15m;28h;Completionists;673;46h 12m;41h;All PlayStyles;3.7K;28h 29m;25h 12m
Combat Mission: Barbarossa to Berlin;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Homeworld: Cataclysm;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
The Walking Dead: Episode 5 - No Time Left;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Guild Wars: Prophecies;Multi-Player;Polled;Average;Median;Co-Op;3;233h 20m;200h;Competitive;1;40h;40h
Borderlands 2;Single-Player;Polled;Average;Median;Main Story;776;30h 42m;30h;Main + Extras;1.3K;56h 59m;49h 52m;Completionists;277;134h 52m;111h;All PlayStyles;2.4K;57h 28m;43h
Slay the Spire;Single-Player;Polled;Average;Median;Main Story;193;11h 48m;10h;Main + Extras;147;49h 20m;40h;Completionists;23;223h 39m;202h;All PlayStyles;363;40h 26m;20h
Max Payne;Single-Player;Polled;Average;Median;Main Story;721;8h 16m;8h;Main + Extras;161;9h 28m;9h;Completionists;73;12h 21m;11h;All PlayStyles;955;8h 47m;8h 30m
Out of the Park Baseball 15;Platform;Polled;Main;Main +;100%;Not enough data.;;;;
World in Conflict;Single-Player;Polled;Average;Median;Main Story;27;11h 52m;12h;Main + Extras;9;13h 27m;13h;Completionists;2;16h 24m;16h 24m;All PlayStyles;38;12h 29m;12h
NASCAR Racing 4;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Duke Nukem 3D;Single-Player;Polled;Average;Median;Main Story;71;9h 30m;9h 12m;Main + Extras;27;11h 32m;11h;Completionists;8;12h 10m;12h 30m;All PlayStyles;106;10h 13m;10h
Far Cry;Single-Player;Polled;Average;Median;Main Story;287;13h 19m;14h;Main + Extras;68;16h 47m;16h;Completionists;86;20h 08m;17h 22m;All PlayStyles;441;15h 11m;14h 01m
Nuclear Throne;Single-Player;Polled;Average;Median;Main Story;35;17h;15h;Main + Extras;15;69h 16m;45h;Completionists;4;143h 15m;131h 30m;All PlayStyles;54;40h 52m;19h 36m
Lone Echo;Single-Player;Polled;Average;Median;Main Story;16;5h 33m;5h 30m;Main + Extras;13;7h 55m;8h;Completionists;5;9h 54m;8h;All PlayStyles;34;7h 06m;6h
FIFA Soccer 12;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
XCOM: Enemy Unknown;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Mass Effect 3;Single-Player;Polled;Average;Median;Main Story;465;24h 38m;24h;Main + Extras;1.2K;36h 02m;35h;Completionists;466;51h 49m;48h 02m;All PlayStyles;2.1K;36h 59m;35h
Rise of Nations;Single-Player;Polled;Average;Median;Main Story;13;16h 23m;16h;Main + Extras;6;46h 20m;35h;Completionists;1;24h;24h;All PlayStyles;20;25h 45m;19h
NASCAR Racing 2003 Season;Platform;Polled;Main;Main +;100%;Not enough data.;;;;
