Assassin's Creed Origins: The Curse of the Pharaohs;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
DmC: Devil May Cry Definitive Edition;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Disgaea 1 Complete;Single-Player;Polled;Average;Median;Main Story;28;35h 44m;32h 54m;Main + Extras;15;60h 16m;60h;Completionists;3;78h 37m;85h 35m;All PlayStyles;46;46h 32m;43h 43m
Pro Evolution Soccer 2018;Single-Player;Polled;Average;Median;Main Story;3;47h 24m;53h 12m;Main + Extras;2;239h 41m;239h 41m;All PlayStyles;5;124h 18m;53h 12m
Call of Duty: Black Ops 4;Single-Player;Polled;Average;Median;Main Story;29;5h 06m;4h 29m;Main + Extras;7;15h 15m;7h 45m;Completionists;6;29h;14h;All PlayStyles;42;10h 12m;5h
Ghost of Tsushima;Single-Player;Polled;Average;Median;Main Story;246;24h 36m;24h 30m;Main + Extras;562;44h 36m;42h 29m;Completionists;759;61h 14m;59h;All PlayStyles;1.6K;49h 31m;50h
Guacamelee! 2;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
FAR: Lone Sails;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Bloodstained: Ritual of the Night;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Assassin's Creed IV: Black Flag;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Crash Team Racing: Nitro-Fueled;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Kingdom Hearts III;Single-Player;Polled;Average;Median;Main Story;734;29h;28h 31m;Main + Extras;557;40h 31m;38h 35m;Completionists;323;64h 25m;61h 54m;All PlayStyles;1.6K;40h 04m;34h 05m
Prey: Mooncrash;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Darkest Dungeon;Single-Player;Polled;Average;Median;Main Story;68;55h 53m;54h 02m;Main + Extras;87;81h 25m;80h;Completionists;35;109h 07m;102h 42m;All PlayStyles;190;77h 23m;72h 30m
Resident Evil Village;Single-Player;Polled;Average;Median;Main Story;423;9h 13m;9h 21m;Main + Extras;510;11h 24m;10h 47m;Completionists;29;37h 18m;35h;All PlayStyles;962;11h 13m;10h
Puyo Puyo Tetris;Single-Player;Polled;Average;Median;Main Story;56;8h;7h;Main + Extras;34;15h 14m;15h;Completionists;12;28h 10m;28h;All PlayStyles;102;12h 47m;9h 57m
Call of Duty: Modern Warfare 2 - Remastered;Single-Player;Polled;Average;Median;Main Story;186;5h 44m;5h 30m;Main + Extras;46;8h 20m;8h;Completionists;26;16h 44m;15h 30m;All PlayStyles;258;7h 18m;6h
MLB The Show 20;Single-Player;Polled;Average;Median;Main Story;3;191h 40m;20h;Main + Extras;3;207h;50h;Completionists;3;486h 20m;542h;All PlayStyles;9;295h;100h
Sackboy: A Big Adventure;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
ZEN Pinball 2: Portal Pinball;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Dragon Quest Builders;Single-Player;Polled;Average;Median;Main Story;37;37h 37m;40h;Main + Extras;50;58h 20m;50h;Completionists;24;75h 22m;60h;All PlayStyles;111;55h 07m;45h
Transistor;Single-Player;Polled;Average;Median;Main Story;952;6h;6h;Main + Extras;633;8h 33m;8h;Completionists;249;16h;15h;All PlayStyles;1.8K;8h 14m;7h
The Yakuza Remastered Collection;Single-Player;Polled;Average;Median;Main Story;2;65h 44m;65h 44m;Main + Extras;5;120h 47m;130h 10m;All PlayStyles;7;105h 03m;118h
Yoku's Island Express;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Yakuza 6: The Song of Life;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Battle Chef Brigade;Single-Player;Polled;Average;Median;Main Story;64;8h 46m;8h 41m;Main + Extras;69;10h 10m;9h 56m;Completionists;5;12h 05m;10h 20m;All PlayStyles;138;9h 35m;9h 18m
Metro Redux;Single-Player;Polled;Average;Median;Main Story;24;17h 16m;16h;Main + Extras;7;22h 41m;17h 10m;Completionists;7;54h 47m;48h 37m;All PlayStyles;38;25h 11m;18h 34m
Resident Evil Village;Single-Player;Polled;Average;Median;Main Story;423;9h 13m;9h 21m;Main + Extras;510;11h 24m;10h 47m;Completionists;29;37h 18m;35h;All PlayStyles;962;11h 13m;10h
LEGO Marvel Super Heroes;Single-Player;Polled;Average;Median;Main Story;238;12h 25m;12h;Main + Extras;139;25h 39m;21h 40m;Completionists;310;40h 11m;39h 41m;All PlayStyles;687;27h 37m;24h 37m
No Man's Sky Beyond;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Creaks;Single-Player;Polled;Average;Median;Main Story;10;5h 41m;5h 05m;Main + Extras;24;6h 27m;6h;Completionists;11;7h 24m;6h 50m;All PlayStyles;45;6h 31m;6h
Call of Duty: Advanced Warfare;Single-Player;Polled;Average;Median;Main Story;591;7h 15m;7h;Main + Extras;128;10h 14m;9h;Completionists;54;19h 06m;14h 33m;All PlayStyles;773;8h 34m;7h 27m
MLB 14: The Show;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Project CARS;Single-Player;Polled;Average;Median;Main Story;20;34h 33m;34h 53m;Main + Extras;13;64h 19m;64h;Completionists;3;89h 52m;90h;All PlayStyles;36;49h 54m;40h 30m
FIFA 19;Single-Player;Polled;Average;Median;Main Story;48;36h 46m;20h 45m;Main + Extras;13;143h 29m;80h;Completionists;8;333h 29m;175h;All PlayStyles;69;91h 17m;25h
