Half-Life 2;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Call of Duty 4: Modern Warfare;Single-Player;Polled;Average;Median;Main Story;852;6h 48m;7h;Main + Extras;192;9h 42m;9h;Completionists;88;16h 17m;15h;All PlayStyles;1.1K;8h 02m;7h
Warcraft III: Reign of Chaos;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
The Sims (2000);Single-Player;Polled;Average;Median;Main Story;18;24h 16m;20h 50m;Main + Extras;9;50h 04m;30h;Completionists;7;61h 10m;60h;All PlayStyles;34;38h 41m;26h 35m
Sid Meier's Gettysburg!;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Pro Evolution Soccer 3;Single-Player;Polled;Average;Median;Main Story;3;23h 20m;20h;Main + Extras;2;25h;25h;Completionists;2;92h 28m;92h 28m;All PlayStyles;7;43h 33m;30h
Team Fortress 2;Multi-Player;Polled;Average;Median;Co-Op;30;281h 32m;73h;Competitive;89;993h 48m;393h
System Shock 2;Single-Player;Polled;Average;Median;Main Story;147;13h 55m;13h 47m;Main + Extras;140;18h 12m;17h 35m;Completionists;37;21h 57m;22h 10m;All PlayStyles;324;16h 41m;16h
Tom Clancy's Splinter Cell: Chaos Theory;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Rome: Total War;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Okami HD;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Undertale;Single-Player;Polled;Average;Median;Main Story;1.3K;6h 54m;6h 30m;Main + Extras;1K;11h 19m;10h;Completionists;418;21h 05m;20h;All PlayStyles;2.8K;10h 41m;8h 20m
Thief: The Dark Project;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Age of Empires II: The Age of Kings;Single-Player;Polled;Average;Median;Main Story;36;41h 34m;41h 30m;Main + Extras;16;66h 46m;55h 30m;Completionists;12;64h 14m;70h;All PlayStyles;64;52h 07m;46h 34m
Unreal Tournament (1999);null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Sid Meier's Alpha Centauri;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Galactic Civilizations II: Twilight of the Arnor;Single-Player;Polled;Average;Median;Main Story;2;6h 22m;6h 22m;All PlayStyles;2;6h 22m;6h 22m
Out of the Park Baseball 17;Platform;Polled;Main;Main +;100%;Not enough data.;;;;
The Witcher 3: Wild Hunt - Blood and Wine;Single-Player;Polled;Average;Median;Main Story;163;15h 49m;15h;Main + Extras;396;28h 30m;28h;Completionists;214;41h 28m;40h;All PlayStyles;773;29h 25m;28h 12m
Tiger Woods PGA Tour 2003;Platform;Polled;Main;Main +;100%;Not enough data.;;;;
Dishonored;Single-Player;Polled;Average;Median;Main Story;1.5K;12h 20m;12h;Main + Extras;1.6K;18h 57m;17h;Completionists;245;36h 18m;32h 23m;All PlayStyles;3.4K;17h 13m;15h
Medal of Honor: Allied Assault;Single-Player;Polled;Average;Median;Main Story;102;8h 58m;9h 41m;Main + Extras;28;12h 33m;12h 15m;Completionists;11;14h 46m;15h;All PlayStyles;141;10h 08m;10h
Myth: The Fallen Lords;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Microsoft Flight Simulator (2020);Single-Player;Polled;Average;Median;Main Story;3;31h 01m;30h;Main + Extras;3;139h 40m;150h;All PlayStyles;6;85h 20m;84h 01m
World of Warcraft: Wrath of the Lich King;Multi-Player;Polled;Average;Median;Co-Op;9;1468h 26m;1500h;Competitive;6;1634h 17m;1250h
Overwatch;Multi-Player;Polled;Average;Median;Competitive;100;325h 20m;173h 20m
F1 Challenge '99-'02;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Baldur's Gate;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
IL-2 Sturmovik;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
FreeSpace 2;Single-Player;Polled;Average;Median;Main Story;14;16h 49m;18h 48m;Main + Extras;2;15h 29m;15h 29m;All PlayStyles;16;16h 39m;18h 48m
Metal Gear Solid V: The Phantom Pain;Single-Player;Polled;Average;Median;Main Story;555;46h 19m;45h;Main + Extras;1.1K;84h 01m;78h 48m;Completionists;311;165h 10m;156h 36m;All PlayStyles;2K;86h 10m;72h 20m
Factorio;Single-Player;Polled;Average;Median;Main Story;123;44h 54m;43h 27m;Main + Extras;60;106h 49m;80h 17m;Completionists;21;218h 11m;200h;All PlayStyles;204;80h 57m;60h
Tom Clancy's Splinter Cell;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Kentucky Route Zero - Act III;Single-Player;Polled;Average;Median;Main Story;22;1h 53m;1h 48m;Main + Extras;13;2h 33m;2h 30m;Completionists;2;2h 33m;2h 33m;All PlayStyles;37;2h 09m;2h
Crysis;Single-Player;Polled;Average;Median;Main Story;626;10h 20m;10h;Main + Extras;236;12h 27m;12h;Completionists;116;13h 38m;13h;All PlayStyles;978;11h 15m;11h
World of Warcraft: The Burning Crusade;Multi-Player;Polled;Average;Median;Co-Op;7;1942h 17m;2000h;Competitive;3;1266h 40m;1500h
Tiger Woods PGA Tour 2005;Single-Player;Polled;Average;Median;Main + Extras;2;48h 47m;48h 47m;All PlayStyles;2;48h 47m;48h 47m
The Longest Journey;Single-Player;Polled;Average;Median;Main Story;123;17h 44m;17h;Main + Extras;38;20h 41m;21h;Completionists;46;21h 29m;21h;All PlayStyles;207;19h 07m;19h
Tony Hawk's Pro Skater 2;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Resident Evil Village;Single-Player;Polled;Average;Median;Main Story;421;9h 13m;9h 21m;Main + Extras;509;11h 23m;10h 47m;Completionists;29;37h 18m;35h;All PlayStyles;959;11h 13m;10h
Batman: Arkham Asylum;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Galactic Civilizations II: Dark Avatar;Single-Player;Polled;Average;Median;Main Story;1;22h;22h;All PlayStyles;1;22h;22h
The Operative: No One Lives Forever;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Crusader Kings III;Single-Player;Polled;Average;Median;Main Story;5;71h 44m;80h 30m;Main + Extras;3;143h 22m;96h;Completionists;1;117h 24m;117h 24m;All PlayStyles;9;100h 41m;94h
Battlefield 2;Single-Player;Polled;Average;Median;Main Story;32;9h 28m;8h 35m;Main + Extras;9;34h 10m;25h;Completionists;6;163h 06m;64h 30m;All PlayStyles;47;33h 48m;10h
Street Fighter IV;Single-Player;Polled;Average;Median;Main Story;40;3h 06m;2h;Main + Extras;20;20h 54m;18h 47m;Completionists;3;62h 48m;68h 25m;All PlayStyles;63;11h 35m;3h
Fallout 3;Single-Player;Polled;Average;Median;Main Story;435;24h 16m;21h 18m;Main + Extras;539;57h 37m;50h;Completionists;192;122h 02m;110h;All PlayStyles;1.2K;55h 47m;40h 48m
Batman: Arkham City;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Fez;Single-Player;Polled;Average;Median;Main Story;392;5h 53m;6h;Main + Extras;241;8h 27m;8h;Completionists;425;12h 05m;11h;All PlayStyles;1.1K;8h 57m;8h
Planescape: Torment;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Neverwinter Nights;Single-Player;Polled;Average;Median;Main Story;15;53h 44m;52h;Main + Extras;40;64h 53m;60h;Completionists;17;83h 26m;74h 43m;All PlayStyles;72;66h 57m;61h 04m
No One Lives Forever 2: A Spy in H.A.R.M.'s Way;Single-Player;Polled;Average;Median;Main Story;27;11h 30m;12h;Main + Extras;20;14h 47m;15h;Completionists;6;21h 16m;21h 26m;All PlayStyles;53;13h 51m;12h
Dragon Age: Origins;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Mark of the Ninja;Single-Player;Polled;Average;Median;Main Story;443;8h 31m;8h;Main + Extras;431;12h 33m;12h;Completionists;165;20h 39m;20h;All PlayStyles;1K;12h 07m;10h 12m
Disco Elysium;Single-Player;Polled;Average;Median;Main Story;112;20h 57m;20h;Main + Extras;595;30h 31m;29h;Completionists;71;42h 57m;41h;All PlayStyles;778;30h 16m;28h 30m
Dark Souls II;Single-Player;Polled;Average;Median;Main Story;433;45h 18m;43h;Main + Extras;434;64h 54m;60h 28m;Completionists;166;128h 31m;112h 15m;All PlayStyles;1K;66h 54m;56h
Spelunky 2;Single-Player;Polled;Average;Median;Main Story;16;26h 41m;28h 30m;Main + Extras;10;74h 36m;70h;Completionists;5;119h 06m;102h;All PlayStyles;31;57h 03m;40h 40m
Call of Duty;Single-Player;Polled;Average;Median;Main Story;318;6h 56m;7h;Main + Extras;57;9h 04m;8h 45m;Completionists;49;9h 21m;9h 19m;All PlayStyles;424;7h 30m;7h 30m
Madden NFL 2004;Single-Player;Polled;Average;Median;Main Story;2;16h 22m;16h 22m;Main + Extras;2;25h;25h;All PlayStyles;4;20h 41m;25h
The Sims 2;Single-Player;Polled;Average;Median;Main Story;30;33h 37m;28h 54m;Main + Extras;14;50h 34m;40h;Completionists;3;175h;200h;All PlayStyles;47;47h 42m;30h
Resident Evil Village;Single-Player;Polled;Average;Median;Main Story;421;9h 13m;9h 21m;Main + Extras;509;11h 23m;10h 47m;Completionists;29;37h 18m;35h;All PlayStyles;959;11h 13m;10h
World of Warcraft: Cataclysm;Multi-Player;Polled;Average;Median;Co-Op;8;1024h 30m;500h;Competitive;2;255h;255h
World of Goo;Single-Player;Polled;Average;Median;Main Story;201;6h 05m;6h;Main + Extras;85;7h 54m;7h 30m;Completionists;28;14h 48m;12h 54m;All PlayStyles;314;7h 21m;6h 17m
Spelunky;Single-Player;Polled;Average;Median;Main Story;62;19h 22m;16h 47m;Main + Extras;34;48h 26m;40h;Completionists;29;95h 26m;80h;All PlayStyles;125;44h 55m;30h
Black & White;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Resident Evil Village;Single-Player;Polled;Average;Median;Main Story;421;9h 13m;9h 21m;Main + Extras;509;11h 23m;10h 47m;Completionists;29;37h 18m;35h;All PlayStyles;959;11h 13m;10h
Tetris Effect;Single-Player;Polled;Average;Median;Main Story;138;3h 07m;2h 30m;Main + Extras;23;10h 29m;8h 30m;All PlayStyles;161;4h 10m;2h 45m
NHL 2001;Single-Player;Polled;Average;Median;Main Story;2;13h 30m;13h 30m;Main + Extras;1;28h 45m;28h 45m;All PlayStyles;3;18h 35m;25h
