Rayman Origins;Single-Player;Polled;Average;Median;Main Story;219;10h 55m;10h 45m;Main + Extras;204;14h 43m;14h;Completionists;100;21h 47m;20h 36m;All PlayStyles;523;14h 29m;12h 30m
MLB 12: The Show;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Wipeout HD;Single-Player;Polled;Average;Median;Main Story;13;13h 29m;15h;Main + Extras;10;20h 17m;16h;Completionists;5;26h 48m;25h;All PlayStyles;28;18h 18m;15h
Resistance 2;Single-Player;Polled;Average;Median;Main Story;162;10h 03m;10h;Main + Extras;39;12h 10m;12h;Completionists;6;15h 08m;15h;All PlayStyles;207;10h 36m;10h
Flower;Single-Player;Polled;Average;Median;Main Story;279;2h 03m;2h;Main + Extras;108;2h 45m;2h 46m;Completionists;68;5h 07m;5h;All PlayStyles;455;2h 40m;2h 15m
Dark Souls II: Crown of the Ivory King DLC;Single-Player;Polled;Average;Median;Main Story;19;4h 51m;4h 25m;Main + Extras;20;6h 14m;6h;Completionists;9;11h 06m;10h;All PlayStyles;48;6h 36m;5h 41m
PixelJunk Shooter;Single-Player;Polled;Average;Median;Main Story;26;4h 49m;4h 30m;Main + Extras;24;7h 03m;6h 06m;Completionists;19;10h 40m;8h 30m;All PlayStyles;69;7h 12m;6h
Bayonetta;Single-Player;Polled;Average;Median;Main Story;1.4K;11h 29m;11h 04m;Main + Extras;466;16h 05m;15h;Completionists;63;45h 02m;40h;All PlayStyles;1.9K;13h 43m;12h
Ratchet & Clank Future: A Crack in Time;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Unreal Tournament III;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
DJ Hero 2;Single-Player;Polled;Average;Median;Main Story;16;7h 11m;7h;Main + Extras;5;10h 39m;10h 10m;All PlayStyles;21;8h 01m;7h 33m
UFC Undisputed 3;Single-Player;Polled;Average;Median;Main Story;11;13h 21m;8h 20m;Completionists;1;17h;17h;All PlayStyles;12;13h 40m;9h 10m
Valkyria Chronicles;Single-Player;Polled;Average;Median;Main Story;213;31h 08m;30h;Main + Extras;284;40h 01m;39h 15m;Completionists;46;64h 46m;60h;All PlayStyles;543;38h 37m;36h
Resistance: Fall of Man;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Guitar Hero: Metallica;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Bit.Trip Presents...Runner2: Future Legend of Rhythm Alien;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
NHL 12;Single-Player;Polled;Average;Median;Main Story;3;23h 20m;25h;Completionists;1;250h;250h;All PlayStyles;4;80h;25h
