Grand Theft Auto IV;Single-Player;Polled;Average;Median;Main Story;779;27h 45m;28h;Main + Extras;651;41h 55m;40h;Completionists;141;78h 25m;75h 34m;All PlayStyles;1.6K;38h 10m;32h
Grand Theft Auto V;Single-Player;Polled;Average;Median;Main Story;1.9K;32h 13m;31h;Main + Extras;2K;50h;45h 30m;Completionists;553;82h 26m;75h;All PlayStyles;4.5K;46h 25m;40h
BioShock;Single-Player;Polled;Average;Median;Main Story;2.4K;12h 12m;12h;Main + Extras;1.6K;16h 18m;15h;Completionists;460;23h 02m;21h;All PlayStyles;4.5K;14h 48m;13h 24m
The Orange Box;Single-Player;Polled;Average;Median;Main Story;23;25h 31m;27h;Main + Extras;18;26h 55m;27h;Completionists;4;87h 30m;54h 30m;All PlayStyles;45;31h 35m;27h 32m
Mass Effect 2;Single-Player;Polled;Average;Median;Main Story;722;24h 48m;24h;Main + Extras;1.8K;36h 08m;35h;Completionists;714;52h 13m;49h;All PlayStyles;3.2K;37h 09m;35h
The Elder Scrolls V: Skyrim;Single-Player;Polled;Average;Median;Main Story;966;36h 47m;30h 20m;Main + Extras;1.9K;117h 07m;100h;Completionists;777;251h 35m;210h;All PlayStyles;3.6K;124h 32m;97h 30m
Red Dead Redemption;Single-Player;Polled;Average;Median;Main Story;679;17h 53m;17h 48m;Main + Extras;719;28h 10m;27h;Completionists;208;48h 09m;44h 51m;All PlayStyles;1.6K;26h 24m;22h 57m
Resident Evil Village;Single-Player;Polled;Average;Median;Main Story;422;9h 14m;9h 21m;Main + Extras;511;11h 24m;10h 48m;Completionists;30;37h 14m;35h;All PlayStyles;963;11h 15m;10h
Batman: Arkham City;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Gears of War;Single-Player;Polled;Average;Median;Main Story;405;9h 09m;9h;Main + Extras;138;12h 21m;11h 35m;Completionists;29;33h 11m;23h;All PlayStyles;572;11h 09m;9h 46m
The Elder Scrolls IV: Oblivion;Single-Player;Polled;Average;Median;Main Story;238;30h;25h 54m;Main + Extras;398;92h 21m;80h;Completionists;156;185h 47m;180h;All PlayStyles;792;92h 01m;73h 21m
Call of Duty 4: Modern Warfare;Single-Player;Polled;Average;Median;Main Story;852;6h 48m;7h;Main + Extras;192;9h 42m;9h;Completionists;88;16h 17m;15h;All PlayStyles;1.1K;8h 02m;7h
Halo 3;Single-Player;Polled;Average;Median;Main Story;612;8h 07m;8h 10m;Main + Extras;147;11h 56m;11h;Completionists;57;19h 06m;16h 45m;All PlayStyles;816;9h 34m;9h
Call of Duty: Modern Warfare 2;Single-Player;Polled;Average;Median;Main Story;996;6h 44m;6h 30m;Main + Extras;270;10h 18m;9h;Completionists;141;36h 20m;25h;All PlayStyles;1.4K;10h 23m;7h
Pac-Man Championship Edition DX;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Resident Evil Village;Single-Player;Polled;Average;Median;Main Story;422;9h 14m;9h 21m;Main + Extras;511;11h 24m;10h 48m;Completionists;30;37h 14m;35h;All PlayStyles;963;11h 15m;10h
Braid;Single-Player;Polled;Average;Median;Main Story;507;5h 08m;5h;Main + Extras;344;5h 59m;6h;Completionists;157;8h 19m;7h;All PlayStyles;1K;5h 55m;5h 30m
Street Fighter IV;Single-Player;Polled;Average;Median;Main Story;40;3h 06m;2h;Main + Extras;20;20h 54m;18h 47m;Completionists;3;62h 48m;68h 25m;All PlayStyles;63;11h 35m;3h
Fallout 3;Single-Player;Polled;Average;Median;Main Story;435;24h 16m;21h 18m;Main + Extras;539;57h 37m;50h;Completionists;192;122h 02m;110h;All PlayStyles;1.2K;55h 47m;40h 48m
Gears of War 2;Single-Player;Polled;Average;Median;Main Story;384;10h 08m;10h;Main + Extras;132;13h 19m;12h;Completionists;14;72h 42m;47h 30m;All PlayStyles;530;12h 35m;10h
Mass Effect 3;Single-Player;Polled;Average;Median;Main Story;465;24h 38m;24h;Main + Extras;1.2K;36h 02m;35h;Completionists;466;51h 49m;48h 02m;All PlayStyles;2.1K;36h 59m;35h
Rock Band 3;Single-Player;Polled;Average;Median;Main Story;17;9h 02m;9h;Main + Extras;23;36h 44m;35h;Completionists;8;150h 03m;124h;All PlayStyles;48;45h 49m;24h 50m
Guitar Hero II;Single-Player;Polled;Average;Median;Main Story;62;8h 41m;8h 58m;Main + Extras;30;19h 59m;20h;Completionists;9;44h 28m;45h;All PlayStyles;101;15h 14m;10h
Rock Band;Single-Player;Polled;Average;Median;Main Story;25;7h 51m;8h;Main + Extras;17;34h 45m;28h 25m;Completionists;5;111h 30m;100h;All PlayStyles;47;28h 36m;10h
Forza Motorsport 3;Single-Player;Polled;Average;Median;Main Story;16;35h 12m;34h;Main + Extras;14;77h 26m;65h;Completionists;10;333h 53m;121h 59m;All PlayStyles;40;124h 39m;52h 30m
Batman: Arkham Asylum;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
The Walking Dead: A Telltale Games Series;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Rock Band 2;Single-Player;Polled;Average;Median;Main Story;21;9h 17m;9h;Main + Extras;19;86h 15m;50h 20m;Completionists;9;150h 53m;120h;All PlayStyles;49;65h 08m;17h 28m
Super Street Fighter IV;Single-Player;Polled;Average;Median;Main Story;24;2h 12m;2h;Main + Extras;10;17h 45m;15h;Completionists;1;72h 43m;72h 43m;All PlayStyles;35;8h 39m;2h 47m
Dark Souls II;Single-Player;Polled;Average;Median;Main Story;433;45h 18m;43h;Main + Extras;434;64h 54m;60h 28m;Completionists;165;128h 41m;112h 31m;All PlayStyles;1K;66h 52m;56h
Halo: Reach;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Mass Effect;Single-Player;Polled;Average;Median;Main Story;1.2K;17h 39m;16h 34m;Main + Extras;1.8K;29h 15m;28h;Completionists;673;46h 12m;41h;All PlayStyles;3.7K;28h 29m;25h 12m
Forza Motorsport 4;Single-Player;Polled;Average;Median;Main Story;23;30h 20m;27h 39m;Main + Extras;17;89h 08m;60h;Completionists;4;275h 01m;265h 47m;All PlayStyles;44;75h 18m;41h
Gears of War 3;Single-Player;Polled;Average;Median;Main Story;376;9h 40m;9h 40m;Main + Extras;114;13h 17m;12h;Completionists;13;21h 32m;18h;All PlayStyles;503;10h 47m;10h
Far Cry 3;Single-Player;Polled;Average;Median;Main Story;983;16h 06m;15h;Main + Extras;1.5K;26h 05m;25h;Completionists;599;38h 12m;36h 26m;All PlayStyles;3.1K;25h 15m;23h
Assassin's Creed II;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Bayonetta;Single-Player;Polled;Average;Median;Main Story;1.4K;11h 29m;11h 04m;Main + Extras;466;16h 05m;15h;Completionists;63;45h 02m;40h;All PlayStyles;1.9K;13h 43m;12h
Tom Clancy's Ghost Recon Advanced Warfighter;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
