FREEDOM FORCE;90;7.8;PC;Crave;Irrational Games;Mar 24, 2002;From a distant corner of the galaxy, an evil alien race sets in motion a sinister plan to conquer the Earth. They unleash a powerful catalyst - Energy X - that imbues the planet's worst miscreants with super-powers to bring the planet to its knees. Now Earth's only hope lies with a new breed… Expand;27 ;Role-Playing,Action RPG,Action RPG
INTO THE BREACH;90;7.8;PC;Subset Games;Subset Games;Feb 27, 2018;Control powerful mechs from the future to defeat an alien threat. Each attempt to save the world presents a new randomly generated challenge in this turn-based strategy game.;56 ;Strategy,Turn-Based,General,Tactics
GTR 2;90;8.6;PC;10tacle Studios;SimBin;Sep 29, 2006;Extending the ground-breaking physics engine found in GTR, GTR 2 takes the thrill of driving to new heights. GTR 2, which is the official simulation of the FIA GT championship, features more than 140 high detailed cars and 34 different track-layouts in a hyper realistic racing world with… Expand;26 ;Driving,Racing,Simulation,GT / Street,GT / Street,Automobile
GRAND THEFT AUTO IV;90;6.9;PC;Rockstar Games;Rockstar Toronto;Dec 2, 2008;(Also known as "GTA IV") What does the American Dream mean today? For Niko Belic, fresh off the boat from Europe. It's the hope he can escape his past. For his cousin, Roman, it is the vision that together they can find fortune in Liberty City, gateway to the land of opportunity. As they… Expand;40 ;Action Adventure,Modern,Modern,Open-World
TOTAL WAR: SHOGUN 2;90;8.4;PC;Sega;Creative Assembly;Mar 15, 2011;Shogun 2 is the ultimate refinement of the original formula with a new, cutting-edge AI, more polish and online functionality than ever before. The result is the perfect mix of real-time and turn-based strategy gaming that invites both veterans of Total War and new players to experience the… Expand;62 ;Strategy,Turn-Based,Historic,General,Historic
EMPIRE: TOTAL WAR;90;7.0;PC;Sega;Creative Assembly;Mar 3, 2009;Empire: Total War is set in the 18th century, a turbulent era that is the most requested by Total War’s loyal fan base and a period alive with global conflict, revolutionary fervour and technological advances. The game features themes such as the Industrial Revolution, America's struggle for… Expand;62 ;Strategy,Real-Time,Historic,General,Historic
KENTUCKY ROUTE ZERO - ACT IV;90;6.3;PC;Cardboard Computer;Cardboard Computer;Jul 20, 2016;Kentucky Route Zero is a magical realistic adventure game about a secret highway in the caves beneath Kentucky, and the mysterious folks who travel it.;8 ;Adventure,General
COMMAND & CONQUER: RED ALERT;90;8.7;PC;Westwood Studios;Westwood Studios;Oct 31, 1996;Surrender is not an option. Dark experiments have permanently altered time. Or have they? Now, Soviet tanks crush city after city while Allied cruisers shell bases. Spies lurk, land mines wait, and strange new technologies aid both sides in their struggle for ultimate control.Command &… Expand;7 ;Strategy,Real-Time,Sci-Fi,Sci-Fi,Command
THE WITCHER 3: WILD HUNT - HEARTS OF STONE;89;9.1;PC;Warner Bros. Interactive Entertainment ;CD Projekt Red Studio;Oct 13, 2015;Hearts of Stone features over ten hours of new adventures and introduces new characters, powerful monsters, unique romance, and an entirely new storyline shaped by gamer choices. The expansion also introduces a new system of Runewords that significantly affects gameplay. Each Runeword… Expand;37 ;Role-Playing,Action RPG
STAR WARS JEDI KNIGHT II: JEDI OUTCAST;89;8.7;PC;LucasArts ;Raven Software;Mar 26, 2002;Several years have passed since Kyle Katarn avenged his father's death and saved the Valley of the Jedi from Jerec and his band of Dark Jedi. Allowing his Force powers to languish for fear of falling to the Dark side, Kyle set aside his lightsaber, vowing never to use it again. But when a… Expand;35 ;Action,Action Adventure,Shooter,Shooter,Linear,First-Person,Sci-Fi,Sci-Fi,Arcade
RESIDENT EVIL 2;89;8.9;PC;Capcom;Capcom R&D Division 1;Jan 25, 2019;In Resident Evil 2, the classic action, tense exploration, and puzzle solving gameplay that defined the Resident Evil series returns. Players join rookie police officer Leon Kennedy and college student Claire Redfield, who are thrust together by a disastrous outbreak in Raccoon City that… Expand;28 ;Action Adventure,Survival
