CUPHEAD;88;8.3;PC;Studio MDHR;Studio MDHR;Sep 29, 2017;Cuphead is a classic run and gun action game primarily focused on boss battles. Inspired by the cartoons of the 1930s, the visuals and audio are carefully created with the same techniques of the era, i.e. traditional cel animation (hand drawn & hand inked), watercolor backgrounds, and… Expand;31 ;Action,Platformer,2D
MYTH II: SOULBLIGHTER;88;8.8;PC;Bungie Software ;Bungie Software;Nov 30, 1998;Building on the excellent plot and gameplay featured in Myth: The Fallen Lords, Myth II: Soulblighter also upped the ante by incorporating destructible environments as well as new game modes. The near-infinite gameplay permutations that ensued, ensured that Myth fans had lots of new toys to… Expand;12 ;Strategy,Real-Time,Fantasy,General
HALO: THE MASTER CHIEF COLLECTION - HALO 3;88;7.9;PC;Xbox Game Studios;343 Industries;Jul 14, 2020;Halo 3 is the third game in the Halo Trilogy and provides the thrilling conclusion to the events begun in "Halo: Combat Evolved." Halo 3 will pick up where "Halo 2" left off. The Master Chief is returning to Earth to finish the fight. The Covenant occupation of Earth has… Expand;13 ;Action,Shooter,First-Person,Arcade
RETURN TO CASTLE WOLFENSTEIN;88;8.7;PC;Activision;Gray Matter;Nov 19, 2001;As B.J. Blazkowicz, a highly decorated Army Ranger recruited into the Office of Secret Actions, you are tasked with escaping and then returning to Castle Wolfenstein in an attempt to thwart Heinrich Himmler's occult and genetic experiments. Through genetic engineering and the harnessing of… Expand;32 ;Action,Shooter,Shooter,First-Person,Historic,Historic,Arcade
ORI AND THE BLIND FOREST: DEFINITIVE EDITION;88;8.7;PC;Microsoft Game Studios;Moon Studios;Apr 27, 2016;Ori and the Blind Forest: Definitive Edition delivers a multitude of new areas, difficulty options, and gameplay upgrades that should appeal to both new and seasoned Ori players.;9 ;Action,Platformer,2D
SHOGO: MOBILE ARMOR DIVISION;88;8.4;PC;Monolith Productions;Monolith Productions;Sep 30, 1998;Choose from four ultra powerful transforming Mobile Combat Armor suits, each with its own advantages and strengths. Find tons of powerups and enhancements to improve your MCA's performance. In addition to piloting your MCA through deadly outdoor, underground, and city missions, you will be… Expand;13 ;Action,Shooter,Shooter,First-Person,Sci-Fi,Sci-Fi,Arcade
THIRTY FLIGHTS OF LOVING;88;5.0;PC;Blendo Games;Blendo Games;Aug 20, 2012;Explore the world of Thirty Flights of Loving through a first-person short story. In this sequel to Gravity Bone, take a deep dive with high-flying schemers, lovelorn criminals, and more stray kittens than you can shake a stick at. Saddle up, gunslinger.;10 ;Adventure,General,3D,First-Person
IT TAKES TWO;88;8.9;PC;Electronic Arts;Hazelight;Mar 26, 2021;From Hazelight comes It Takes Two an innovative co-op adventure where uniquely varied gameplay and emotional storytelling intertwine in a fantastical journey. Founded to push the creative boundaries of what's possible in games, Hazelight is the award-winning studio behind the critically… Expand;19 ;Action Adventure,Linear
HEARTHSTONE: HEROES OF WARCRAFT;88;5.8;PC;Blizzard Entertainment;Blizzard Entertainment;Mar 11, 2014;Hearthstone is a free-to-play digital strategy card game that anyone can enjoy. Players choose one of nine epic Warcraft heroes to play as, and then take turns playing cards from their customizable decks to cast potent spells, use heroic weapons or abilities, or summon powerful characters to… Expand;42 ;Card Battle,Strategy,Miscellaneous,Turn-Based,Card Battle
UNITY OF COMMAND II;88;7.4;PC;2x2 Games;2x2 Games;Nov 12, 2019;Unity of Command II is the sequel to one of the most critically acclaimed strategy games of all time; a game critics called 'the perfect gateway' into computer war games.+;10 ;Strategy,Turn-Based,4X
