Tomodachi Life
Ikachan
WWE All Stars
LEGO Harry Potter: Years 5-7
LEGO Pirates of the Caribbean: The Video Game
Naruto Powerful Shippuden
CRUSH3D
Ace Combat: Assault Horizon Legacy
Pilotwings Resort
Detective Pikachu
Fractured Soul
Steel Diver: Sub Wars
Hyrule Warriors Legends
Yo-kai Watch 2: Fleshy Souls
Mercenaries Saga 2: Order Of The Silver Eagle
Mario vs. Donkey Kong: Tipping Stars
Inazuma Eleven 3: Team Ogre Attacks!
Inazuma Eleven 3: Lightning Bolt
Project X Zone
Aero Porter
Pokemon Battle Trozei
Code Name: S.T.E.A.M.
Pokemon Super Mystery Dungeon
Final Fantasy Explorers
River City: Tokyo Rumble
Mario Tennis Open
Dr. Mario: Miracle Cure
Shinobi
Kirby's Blowout Blast
Fire Emblem Warriors
Hey! Pikmin
The Legend of Kusakari
Brain Age: Concentration Training
Heroes of Ruin
Dillon's Dead-Heat Breakers
Ultimate NES Remix
Liberation Maiden
Scribblenauts Unmasked: A DC Comics Adventure
Picross e2
AiRace Speed
Freakyforms: Your Creations, Alive!
Batman: Arkham Origins Blackgate
Star Wars Pinball
Mario Party: Star Rush
Tokyo Crash Mobs
Picross e4
Lord of Magna: Maiden Heaven
3D Classics: TwinBee
Dillon's Rolling Western: The Last Ranger
Skylanders Swap Force
Tetris Ultimate
The Legend of Legacy
Yo-kai Watch Blasters: Red Cat Corps
FIFA Soccer 12
Adventure Time: Hey Ice King! Why'd You Steal Our Garbage?!
Mahjong Cub3d
Yo-kai Watch Blasters: White Dog Squad
Code of Princess
Urban Trial Freestyle 2
LEGO Star Wars III: The Clone Wars
Miitopia
Sonic Generations
Kirby Fighters Deluxe
Animal Crossing: Happy Home Designer
AiRace Xeno
Picross e3
Mario & Sonic at the London 2012 Olympic Games
Nintendo Pocket Football Club
Unchained Blades
Dillon's Rolling Western
Need for Speed: The Run
Dedede's Drum Dash Deluxe
Resident Evil: The Mercenaries 3D
Yoshi's New Island
Bloo Kid 2
Metroid Prime: Federation Force
Tekken 3D Prime Edition
Tank Troopers
The Delusions of Von Sottendorff and His Squared Mind
Tappingo
Urban Trial Freestyle
SpongeBob Squigglepants 3D
BlazBlue: Continuum Shift II
RPG Maker Fes
Disney Epic Mickey: The Power of Illusion
Harvest Moon 3D: The Tale of Two Towns
Radiohammer
Sonic & All-Stars Racing Transformed
Titan Attacks!
Ace Combat: Assault Horizon Legacy+
Freakyforms Deluxe: Your Creations, Alive!
Ninja Usagimaru: The Mysterious Karakuri Castle
Samurai Warriors Chronicles 3
Weapon Shop de Omasse
River City: Knights of Justice
Let's Golf 3D
Moco Moco Friends
Sonic Boom: Fire & Ice
Angry Birds Trilogy
Mario Sports Superstars
